"JASID","自治体コード","遺跡名","時代","緯度","経度","草創期","早期","前期","中期","後期","晩期"
1310100200,13101,"旧本丸西貝塚","[縄文時代（前期～晩期）]",35.6866013,139.7550845,0,0,1,1,1,0
1310100800,13101,"牛ヶ淵貝塚","[縄文時代（中期）][弥生時代][古墳時代][奈良時代][平安時代]",35.69479204,139.7510672,0,0,0,1,0,0
1310100900,13101,"九段坂上貝塚","[縄文時代（中期）][弥生時代][平安時代]",35.69628581,139.7491794,0,0,0,1,0,0
1310101000,13101,"永田町二丁目遺跡","[縄文時代（後期）][弥生時代（中期）][近世]",35.67281761,139.7438231,0,0,0,1,1,0
1310101100,13101,"千代田区№11遺跡","[縄文時代（中期）]",35.6742121,139.7395316,0,0,0,1,0,0
1310101200,13101,"千代田区№12遺跡","[縄文時代][近世]",35.69663226,139.7591696,0,0,0,0,0,0
1310101300,13101,"明治大学大学院西側遺跡","[縄文時代（前期）]",35.6988349,139.7612639,0,0,1,0,0,0
1310102100,13101,"外務省構内遺跡","[縄文時代][近世]",35.67437944,139.7498313,0,0,0,0,0,0
1310102200,13101,"東京国立近代美術館遺跡","[旧石器時代][縄文時代（早期～後期）][弥生時代][古墳時代][中世][近世]",35.69037522,139.754735,0,1,1,1,1,1
1310104100,13101,"平河町遺跡","[縄文時代][弥生時代][古墳時代][中世][近世]",35.67928786,139.7401839,0,0,0,0,0,0
1310104200,13101,"紀尾井町遺跡","[旧石器時代][縄文時代（早期・中期～後期）][弥生時代（後期）][中世][近世][近代]",35.68084957,139.7371627,0,1,0,1,1,1
1310104900,13101,"一番町遺跡","[縄文時代][弥生時代][近世]",35.68690979,139.739685,0,0,0,0,0,0
1310105500,13101,"隼町遺跡","[縄文時代][近世]",35.68310842,139.7426901,0,0,0,0,0,0
1310105600,13101,"三番町遺跡","[縄文時代（前期・後期）][弥生時代（後期）][近世][近代]",35.69089728,139.7464141,0,0,1,0,1,0
1310105700,13101,"尾張藩麹町邸跡","[縄文時代（早期・中期・晩期）][近世]",35.68314519,139.7324409,0,1,0,1,0,1
1310105800,13101,"溜池遺跡","[縄文時代（前期・後期）][近世]",35.67348697,139.7413855,0,0,1,0,1,0
1310106000,13101,"飯田町遺跡","[縄文時代][古墳時代][奈良時代][平安時代][近世]",35.70120476,139.7498656,0,0,0,0,0,0
1310106500,13101,"法政大学構内遺跡","[縄文時代（前期）][近世]",35.69527317,139.7404933,0,0,1,0,0,0
