遺跡番号,ふりがな,遺跡名,変換元住所,時代,種別,主な遺構/概要,主な出土品
194,いしいどいせき,石井土遺跡,世田谷区 砧五丁目 砧七丁目,[縄文時代],包蔵地,,縄文土器 石器
195,にしざんやきたいせき,西山野北遺跡,世田谷区 砧三丁目,[古墳時代],包蔵地,,土師器
196,あんどうけはかあと,安藤家墓跡,世田谷区 大蔵一丁目,[近世],墓地,[近世]墓壙6,釘 木片 銭貨 人骨
197,いしいどみなみおうけつ,石井土南横穴,世田谷区 大蔵四丁目,[古墳時代][奈良時代],横穴墓,,人骨
199,べんてんづか・てんじんづか,弁天塚・天神塚,世田谷区 岡本二丁目,[時代不明],塚,,
200,かわらけづかいせき,土器塚遺跡,世田谷区 代沢一丁目 池尻四丁目,[旧石器時代][縄文時代（中期）][弥生時代（後期）][古墳時代],集落,[弥生時代]後期住居跡 [近世以降]溝,縄文土器 弥生土器 石器 陶磁器類
201,きへいやまいせき,騎兵山遺跡,世田谷区 池尻四丁目,[縄文時代（早期・中期）][古墳時代][近世][近代],集落,[縄文時代]炉穴 住居 ピット [古墳時代]住居 [近世]建物基礎,縄文土器 陶磁器
202,しんがんじふじづかいせき,森厳寺富士塚遺跡,世田谷区 代沢三丁目,[近世],塚,,
203,だいたくりはらいせき,代田栗原遺跡,世田谷区 代田三丁目,[縄文時代][古墳時代][近世],包蔵地,,縄文土器 石器 土師器 板碑
204,くりはらづか,栗原塚,世田谷区 代田三丁目,[近世],その他（塚）,,
205,わかばやしほんむらいせき,若林本村遺跡,世田谷区 若林五丁目,[縄文時代],包蔵地,,石器
206,わかばやしさんかくやまいせき,若林三角山遺跡,世田谷区 若林二丁目 若林三丁目,[縄文時代],包蔵地,,縄文土器 石器
207,ときわづか,常盤塚,世田谷区 上馬五丁目,[中世],塚,※遺跡範囲のすべてが、世田谷区指定史跡常盤塚となっています。,鏡 くし
208,あみだまるいせき,阿弥陀丸遺跡,世田谷区 弦巻二丁目,[中世],包蔵地,,甕 石櫃 板碑
209,せきやづか,関屋塚,世田谷区 桜新町一丁目,[中世][近世],塚,,銭貨
210,ながさきづかいせき,長崎塚遺跡,世田谷区 桜新町一丁目,[中世][近世],その他（塚）,,陶磁器
211,うさまえみなみいせき,宇佐前南遺跡,世田谷区 用賀一丁目,[縄文時代],包蔵地,,土錘
212,せんぶづかいせき,千部塚遺跡,世田谷区 深沢五丁目,[中世][近世],その他（塚）,,土師器
214,まるやまみなみいせき,丸山南遺跡,世田谷区 深沢五丁目,[縄文時代（中期）],包蔵地,,縄文土器
215,しょうぎやまいせき,将監山遺跡,世田谷区 瀬田四丁目,[旧石器時代][縄文時代][古墳時代][奈良時代],包蔵地,,剥片 縄文土器 石器 土師器 陶磁器
216,せたちゅうがっこういせき,瀬田中学校遺跡,世田谷区 瀬田二丁目,[平安時代],墓地,,蔵骨器 人骨
217,やざわだいいせき,谷沢台遺跡,世田谷区 中町二丁目,[縄文時代],包蔵地,,縄文土器 石器
218,いなりざかいせき,稲荷坂遺跡,世田谷区 上野毛二丁目 上野毛三丁目,[中世],包蔵地,,板碑
219,いなりまるいせき,稲荷丸遺跡,世田谷区 上野毛二丁目 上野毛三丁目,[縄文時代（前期～中期）],包蔵地,,縄文土器
220,いなりまるづか,稲荷丸塚,世田谷区 上野毛二丁目,[古墳],古墳,,
222,とどろきねおうけつぼ,等々力根横穴墓,世田谷区 等々力一丁目,[古墳時代],横穴墓,,人骨
223,とどろきひがしはら,等々力東原遺跡,世田谷区 等々力六丁目,[縄文時代（前期）],包蔵地,,縄文土器
224,どうのさかいせき,堂の坂遺跡,世田谷区 尾山台一丁目 尾山台二丁目,[中世],出土地,,板碑 人骨
224,どうのさかいせき,堂の坂遺跡,世田谷区 尾山台一丁目 尾山台二丁目,[中世],出土地,,板碑 人骨
227,おおひらとりであと,大平砦跡,世田谷区 奥沢一丁目 奥沢三丁目,[中世],城館,,
228,ふかさわじょうあと,深沢城跡,世田谷区 中町二丁目 等々力三丁目 等々力八丁目,[中世],城館,,
232,まつばいせき,松場遺跡,世田谷区 喜多見八丁目,[古墳時代][近世],包蔵地,,土師器 カワラケ
233,みしまのやしき・しもがくとうみなみいせき,三島野屋敷・下覚東南遺跡,世田谷区 喜多見九丁目,[縄文時代（草創期～中期）][弥生時代][古墳時代][奈良時代][平安時代][近世],集落,,縄文土器 弥生土器 土師器 陶磁器
235,あいのはら,相之原遺跡,世田谷区 喜多見四丁目,[縄文時代（中期）][古墳時代][奈良時代][近世],集落,[古墳時代]住居 [奈良時代]住居 ピット 土坑 溝 [近世]ピット,縄文土器 土師器 須恵器 鉄鏃 砥石 滑石製臼玉 石製模造品 陶磁器 鉄滓 埴輪 紡錘車
237,しものげはらいなりいせき,下野毛原稲荷遺跡,世田谷区 野毛一丁目,[中世],単独出土地,,板碑
238,はちまんやまいなりまえいせき,八幡山稲荷前遺跡,世田谷区 八幡山一丁目,[縄文時代（早期・中期）][中世][近世],集落,[縄文時代]土坑 ピット [中世][近世]溝 井戸 土坑 ピット,縄文土器 石器 土製品 陶磁器 土師質土器 煙管 鉄製石 碁石
239,かねづか,カネ塚,世田谷区 南烏山二丁目,[中世][近世],塚,,陶器 石碑
240,こがやいせき,児ヶ谷遺跡,世田谷区 八幡山三丁目,[中世][近世],包蔵地,,土師器 陶磁器
241,まるしたいせき,丸下遺跡,世田谷区 八幡山一丁目 上北沢一丁目,[縄文時代（早期～中期）][近世],集落,,縄文土器 石器
242,しんぱちやまいせき,新八山遺跡,世田谷区 上北沢一丁目 桜上水五丁目,[縄文時代（中期）][古墳時代][近世],集落,[縄文時代]ピット [近世]溝 土坑 ピット,縄文土器 土師器 磁器 石臼 陶磁器
243,ほしのづか,星野塚,世田谷区 船橋五丁目,[中世],塚,,
244,はんだづか,半田塚,世田谷区 松原六丁目,[近世],塚,,陶磁器
245,いしいどづか,石井土塚,世田谷区 大蔵三丁目,[古墳時代][奈良時代][平安時代][中世][近世],塚？,方墳,
246,かるたいせき,嘉留多遺跡,世田谷区 成城一丁目,[旧石器時代][縄文時代（早期～晩期）][奈良時代][平安時代],集落,[旧石器時代]ブロック 礫群 炭化物集中箇所 [縄文時代]住居 竪穴状遺構 集石土坑 炉穴群 土坑 ピット [近世]溝状遺構 道路,縄文土器 石器 弥生土器 土師器 須恵器 炭化果核 銭貨
247,しものだいせき,下野田遺跡,世田谷区 喜多見五丁目 喜多見六丁目 喜多見七丁目,[縄文時代（早期～晩期）][古墳時代][近世],包蔵地,,縄文土器 石槍 石器 土師器 陶磁器
248,おかもとはらいせき,岡本原遺跡,世田谷区 岡本一丁目,[縄文時代（早期～中期）][古墳時代][中世][近世],包蔵地,[古墳時代]溝,縄文土器 土師器 紡錘車 陶磁器
249,せたうえはらいせき,瀬田上原遺跡,世田谷区 瀬田五丁目,[奈良時代][平安時代][中世],包蔵地,,土師器 須恵器 カワラケ
250,いなりまるきたいせき,稲荷丸北遺跡,世田谷区 上野毛三丁目,[縄文時代（早期～晩期）][古墳時代],集落・貝塚,[縄文時代]住居 土坑 ピット [古墳時代]住居 掘立柱建物 土坑 [近世]ピット 溝?,石器 縄文土器 土錘 土製円板 けつ状耳飾 弥生土器 土師器 須恵器 装身具 陶磁器
251,いなりまるこふん,稲荷丸古墳,世田谷区 上野毛三丁目,[古墳時代],古墳,円墳 [古墳時代]礫槨 石槨 葺石,
252,まるやまきたいせき,丸山北遺跡,世田谷区 深沢五丁目,[近世],包蔵地,,陶磁器
258,むかいのだいせき,向野田遺跡,世田谷区 砧七丁目 砧八丁目,[縄文時代（早期～後期）][古墳時代][近世],集落,[縄文時代]集石 土坑群 ピット群,縄文土器 石器
260,かなくそやまいせき,かなくそやま遺跡,世田谷区 喜多見七丁目,[近世],塚,円形墳丘,陶磁器 羽口 鉄滓
262-1,じんや1ごうふん,陣屋1号墳,世田谷区 喜多見一丁目,[古墳時代],古墳,円墳 [古墳時代]周溝,土師器
262-2,じんや2ごうふん,陣屋2号墳,世田谷区 喜多見一丁目,[古墳時代],古墳,[古墳時代]葺石,土師器 埴輪（円筒、人物、形象）
262-3,じんや3ごうふん,陣屋3号墳,世田谷区 喜多見四丁目,[古墳時代],古墳,[古墳時代]石室,鉄鏃
