JASID,自治体コード,遺跡番号,ふりがな,遺跡名,変換元住所,時代,種別,主な遺構/概要,主な出土品
1311203906,13112,39-6,とのやまこふんぐん6ごうふん,殿山古墳群6号墳,世田谷区 大蔵六丁目,[古墳時代],古墳,,
1311203907,13112,39-7,とのやまこふんぐん7ごうふん,殿山古墳群7号墳,世田谷区 大蔵六丁目,[古墳時代],古墳,円墳,直刀
1311203908,13112,39-8,とのやまこふんぐん8ごうふん（たいしょうづか）,殿山古墳群8号墳（大将塚）,世田谷区 大蔵六丁目,[古墳時代],古墳,円墳,鏃　刀
1311203909,13112,39-9,とのやまこふんぐん9ごうふん,殿山古墳群9号墳,世田谷区 大蔵六丁目,[古墳時代],古墳,円墳　[古墳時代]横穴式石室?,金銅装圭頭大刀
1311204500,13112,45,にしやとおうけつぼぐん・にしやといせき,西谷戸横穴墓群・西谷戸遺跡,世田谷区 大蔵四丁目　 岡本三丁目,[旧石器時代][古墳時代][奈良時代][平安時代],集落・横穴墓,[旧石器時代]ブロック　礫群　[古墳時代]33基　[奈良～平安時代]住居,縄文土器　弥生土器　土師器　須恵器　石器　鉄鏃　直刀　刀子　装飾品（玉類他）
1311204700,13112,47,きぬたおおつか,砧大塚,世田谷区 砧公園一丁目,[中世],その他（塚）,移築保存,陶器　カワラケ　銭貨
1311204800,13112,48,うえのだいいせき,上之台遺跡,世田谷区 砧八丁目　 祖師谷三丁目,[旧石器時代][縄文時代（早期～中期）][弥生時代（後期）][古墳時代][奈良時代][中世],集落,[縄文時代]住居　集石　集石土坑　土坑　[古墳時代]住居　[時期不明]溝　段状遺溝,石器　縄文土器　石器　焼礫　弥生土器　土師器　須恵器　鉄鏃　鉄製品　青銅製品　泥人形
1311204900,13112,49,おかもとやとおうけつぼぐん,岡本谷戸横穴墓群,世田谷区 岡本一丁目,[古墳時代][奈良時代],横穴墓,,鉄鏃　刀子　鉄製品　円頭大刀　人骨
1311205000,13112,50,どうがやとおうけつぼぐん,堂ヶ谷戸横穴墓群,世田谷区 岡本二丁目,[古墳時代],横穴墓,5基以上,
1311205100,13112,51,おかもとはらおうけつぼぐん,岡本原横穴墓群,世田谷区 岡本二丁目,[古墳時代],横穴墓,5基,
1311205200,13112,52,どうがやといせき,堂ヶ谷戸遺跡,世田谷区 岡本一丁目　 岡本二丁目　 岡本三丁目,[旧石器時代][縄文時代（早期～晩期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世],集落,[縄文時代]住居　集石　集石土坑　土坑　ピット　[弥生時代][古墳時代][奈良時代][平安時代]住居　竪穴　[近世]溝,石器　縄文土器　弥生土器　土製品　土師器　須恵器　鉄製品　銅鏃　玉類　陶磁器　砥石　煙管
1311205300,13112,53,はちまんやまいせき,八幡山遺跡,世田谷区 八幡山一丁目　 八幡山二丁目,[縄文時代（早期～後期）][中世][近世],集落,[縄文時代]住居　[近世]竪穴　井戸　炭窯,縄文土器　石器　石皿　台石　砥石　土錘　陶器　瓦　砥石　石臼　鉄製品
1311205400,13112,54,ふなばしほんむらきたいせき,船橋本村北遺跡,世田谷区 船橋四丁目　 船橋七丁目,[縄文時代（早期～中期）][古墳時代][奈良時代][平安時代],集落,[縄文時代]集石　炉穴群　土坑　[奈良時代][平安時代]住居　井戸,縄文土器　石珠　土師器
1311205500,13112,55,ちとせいせき,千歳遺跡,世田谷区 船橋三丁目,[縄文時代（早期～中期）],集落,,縄文土器　石器　土偶
1311205600,13112,56,ふなばしほんむらみなみいせき,船橋本村南遺跡,世田谷区 船橋四丁目,[縄文時代（中期）],包蔵地,,縄文土器
1311205700,13112,57,とのたけいせき,殿竹遺跡,世田谷区 上北沢二丁目,[縄文時代（中期）],包蔵地,,縄文土器
1311205800,13112,58,むかいやまいせき,向山遺跡,世田谷区 桜上水三丁目,[旧石器時代][縄文時代（中期）][中世][近世],集落,[縄文時代]住居　竪穴　土坑　ピット　[中世]井戸　溝,
1311205900,13112,59,みどりがおかちゅうがっこういせき,緑ヶ丘中学校遺跡,世田谷区 桜上水三丁目,[縄文時代],包蔵地,,縄文土器　石器
1311206000,13112,60,ひがしきょうどうだんちいせき,東経堂団地遺跡,世田谷区 桜上水一丁目,[縄文時代（中期）],包蔵地,,縄文土器
1311206100,13112,61,えげのやまいせき,江下山遺跡,世田谷区 桜上水一丁目　 宮坂三丁目,[縄文時代（中期）],包蔵地,,縄文土器
1311206200,13112,62,あらいいせき,新井遺跡,世田谷区 赤堤一丁目,[縄文時代（早期・中期）][近世],集落,[近世]溝,縄文土器　石器
1311206300,13112,63,あかつつみなかどおりいせき,赤堤中通遺跡,世田谷区 赤堤三丁目,[旧石器時代],包蔵地,,石器
1311206400,13112,64,まえやといせき・あかつつみじんやあと,前谷戸遺跡・赤堤陣屋跡,世田谷区 赤堤一丁目　 赤堤二丁目　 豪徳寺一丁目,[旧石器時代][縄文時代（中期）][弥生時代][近世],包蔵地・その他（陣屋）,,石器　縄文土器　弥生土器
1311206500,13112,65,みやまいせき,宮前遺跡,世田谷区 赤堤二丁目,[縄文時代（中期）][弥生時代],包蔵地,,縄文土器　石器　弥生土器
1311206600,13112,66,うしろやといせき,後谷戸遺跡,世田谷区 赤堤三丁目,[縄文時代（中期）][弥生時代][近世],集落,[近世]溝,縄文土器　陶磁器　土師質土器　弥生土器
1311206700,13112,67,あかつつみじんやいせき,赤堤陣屋遺跡,世田谷区 赤堤一丁目　 赤堤三丁目,[弥生時代],包蔵地,,弥生土器
