JASID,自治体コード,遺跡番号,ふりがな,遺跡名,変換元住所,時代,種別,主な遺構/概要,主な出土品
1320200100,13202,1,にしすながわいせき,西砂川遺跡,立川市 西砂町四丁目,[縄文時代（早期～前期）],包蔵地,,縄文土器
1320200200,13202,2,とのがやしんでんいせき,殿ヶ谷新田遺跡,立川市 西砂町五丁目,[縄文時代（中期）][平安時代][中世],包蔵地,畝状遺構 ピット 土杭（時代不明）,尖頭器 縄文土器 打斧 石鏃 土師器 陶器
1320200300,13202,3,まつなかっぱらいせき,松中ッ原遺跡,立川市 一番町五丁目,[旧石器時代][縄文時代（早期）],包蔵地,,尖頭器 石鏃
1320200400,13202,4,てんのうばしびーちてんいせき,天王橋B地点遺跡,立川市 一番町一丁目,[旧石器時代],包蔵地,,ナイフ形石器 掻器 石核
1320200500,13202,5,じょうすいむこういせき,上水向遺跡,立川市 上砂町四丁目,[旧石器時代],包蔵地,,尖頭器 掻器
1320200600,13202,6,みやのはしいせき,宮ノ橋遺跡,立川市 砂川町四丁目,[旧石器時代],包蔵地,,尖頭器
1320200700,13202,7,おおやまどうひがしいせき,大山道東遺跡,立川市 砂川町二丁目,[旧石器時代][縄文時代],包蔵地,,尖頭器 掻器 磨石 スタンプ形石器
1320200800,13202,8,かわごえどうにしいせき,川越道西遺跡,立川市 幸町五丁目,[縄文時代],包蔵地,,石鏃
1320200900,13202,9,かんのんじはらいせき,観音寺原遺跡,立川市 栄町四丁目,[旧石器時代][縄文時代],包蔵地,,ナイフ形石器 尖頭器 縄文土器 石鏃
1320201100,13202,11,だいいせき,台遺跡,立川市 富士見町三丁目,[縄文時代（中期）][奈良時代][平安時代],集落,[奈良時代][平安時代]住居 土坑,縄文土器 土師器 須恵器
1320201200,13202,12,,立川市№12遺跡,立川市 柴崎町二丁目,[古墳時代],古墳,,
1320201300,13202,13,,立川市№13遺跡,立川市 柴崎町四丁目,[古墳時代],古墳,,
1320201400,13202,14,おおわだいせき,大和田遺跡,立川市 柴崎町四丁目 錦町五丁目,[旧石器時代][縄文時代（早期・中期～後期）][奈良時代][平安時代][中世][近世],集落,[縄文時代]住居 集石 土坑 [奈良時代][平安時代]住居 土坑 溝,尖頭器 礫器 縄文土器 打斧 磨斧 石皿 磨石 スタンプ形石器 土師器 須恵器 陶磁器 銭貨
1320201500,13202,15,ふさいじいせき,普済寺遺跡,立川市 柴崎町四丁目,[縄文時代（中期）],包蔵地,[縄文時代]土坑 ピット,縄文土器 打斧
1320201600,13202,16,,立川市№16遺跡,立川市 柴崎町四丁目,[古墳時代],古墳,,
1320201700,13202,17,たちかわしやかたあと,立川氏館跡,立川市 柴崎町四丁目,[中世][近世],包蔵地・城館,[中世][近世]土塁 堀 礎石建物 掘立柱建物 地下式横穴 井戸 溝 土坑,陶磁器 板碑 古銭 経石 瓦
1320201800,13202,18,むかいごういせき,向郷遺跡,立川市 錦町四丁目 羽衣町三丁目,[旧石器時代][縄文時代（早期～後期）][奈良時代][平安時代],集落,[縄文時代]住居 集石 土坑 炉穴,ナイフ形石器 縄文土器 打斧 磨斧 石鏃 磨石 土師器
1320201900,13202,19,だいのしたいせき,台の下遺跡,立川市 富士見町三丁目,[縄文時代][奈良時代][平安時代][中世][近世],集落,[平安時代]住居 土坑 [近世]水路 [時代不明]柱穴 溝状遺構,縄文土器 土師器 須恵器 陶磁器 緑釉陶器 灰釉陶器 鉄製品
1320202000,13202,20,しもおおわだいせき,下大和田遺跡,立川市 柴崎町三丁目 柴崎町四丁目 錦町二丁目 錦町五丁目,[縄文時代（中期）][奈良時代][平安時代][近世],集落,[旧石器時代]礫群 [縄文時代]土坑 ピット 埋甕 [奈良時代][平安時代]住居 掘立柱建物 土坑 ピット 溝状遺構 他,縄文土器 石器 土師器 須恵器 灰釉陶器 陶磁器 鉄製品
1320202100,13202,21,,立川市№21遺跡,立川市 柴崎町一丁目 柴崎町四丁目,[縄文時代（前期～中期）][奈良時代][平安時代],集落,[縄文時代]土坑,縄文土器 石器 土師器 須恵器
