JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土
1320802400,13208,24,おとうざかおうけつぼぐん,御塔坂横穴墓群,調布市 深大寺元町三丁目,[古墳時代][奈良時代],横穴墓群,6基,ナイフ形石器　縄文土器　打斧　土師器　須恵器　陶器（灰釉）　鉄製品　木製品　陶磁器　ガラス
1320802500,13208,25,うえのはらいせき,上野原遺跡,調布市 深大寺南町一丁目　深大寺南町二丁目　新大事南町三丁目　深大寺南町四丁目　　深大寺南町五丁目　佐須町五丁目　柴崎二丁目,[旧石器時代][縄文時代（早期・後期）][古墳時代][奈良時代][平安時代][近世],集落,[旧石器時代]礫群　[縄文時代]住居　集石　集石土坑　炉穴　陥し穴　土坑　[古墳時代]土壙墓　[平安時代]住居　溝　[中世]土坑　地下室　濠　[中世][近世]溝　堀　[時代不明]掘立柱建物,
1320802600,13208,26,かねこもとやま,金子本山遺跡,調布市 西つつじケ丘一丁目,[縄文時代][古墳時代][奈良時代][中世],包蔵地,[中世]地下式土壙,縄文土器　土師器　鉄片　漆喰
1320802700,13208,27,のがわいせき,野川遺跡,調布市 野水一丁目　野水二丁目,[旧石器時代][縄文時代（早期～後期）][弥生時代],包蔵地,[旧石器時代]礫群　配石　[縄文時代]住居　三鷹2に接続,ナイフ形石器　尖頭器　細石器　礫器　縄文土器　石器　弥生土器
1320802800,13208,28,みやたまえいせき,宮田前遺跡,調布市 深大寺元町二丁目　佐須一丁目,[縄文時代][古墳時代][奈良時代][平安時代][中世],集落,[奈良時代]竪穴住居　溝状遺構　小穴　[古墳時代]竪穴住居　溝状遺構　[古代]竪穴住居　小穴,縄文土器　土師器　蔵骨器　陶磁器　カワラケ　板碑　石製品（砥石）　須恵器　種子
1320802901,13208,29-1,ませぐちいせき,ませぐち遺跡,調布市 佐須町二丁目,[縄文時代（草創期～早期・中期～後期）][奈良時代][中世],集落・城館・その他,[縄文時代]炉穴 [奈良時代][平安時代]住居 掘立柱建物 [近世]溝,縄文土器 石槍 土製品 土師器 須恵器 鉄製品 陶磁器 瓦
1320802902,13208,29-2,ませぐちこせんしゅつどち,ませぐち古銭出土地,調布市 佐須町二丁目,[中世],その他,埋納銭出土地,"銭貨4,395枚"
1320803000,13208,30,ぎおんじみなみいせき,祇園寺南遺跡,調布市 佐須町四丁目,[縄文時代（中期）][奈良時代][平安時代][中世],包蔵地,,縄文土器 土師器 須恵器 陶磁器
1320803100,13208,31,はらやまいせき,原山遺跡,調布市 佐須町四丁目 佐須町五丁目 柴崎一丁目,[縄文時代（中期）][奈良時代][平安時代][中世][近世],包蔵地・集落,[縄文時代]住居 集石 集石土坑 土坑 埋甕 [平安時代]住居 溝,縄文土器 打斧 磨斧 石鏃 石錘 石皿 土錘 耳飾 土偶 垂飾 土製品 土師器 須恵器 カワラケ 陶磁器
1320803200,13208,32,しみずいせき,清水遺跡,調布市 菊野台三丁目,[奈良時代],包蔵地,,土師器
1320803300,13208,33,ほんむらいせき,本村遺跡,調布市 菊野台三丁目,[奈良時代][平安時代],包蔵地,,土師器
1320803400,13208,34,かねこれんぞうじいせき,金子蓮蔵寺遺跡,調布市 西つつじケ丘四丁目 菊野台三丁目,[縄文時代][奈良時代][平安時代],包蔵地,,縄文土器 土師器
1320803500,13208,35,なかごうちいせき,中耕地遺跡,調布市 調布ヶ丘二丁目 調布ヶ丘三丁目,[縄文時代（中期）][奈良時代][平安時代][近世],集落,[縄文時代]集石 土坑 [奈良時代][平安時代]住居 掘立柱建物 柵列 [近世]井戸 野鍛冶 溝,縄文土器 石器 土師器 須恵器 墨書土器 陶器（灰釉） 陶磁器 鉄製品 焼印 木製品
1320803600,13208,36,きたうらいせき,北浦遺跡,調布市 八雲台一丁目 八雲台二丁目,[旧石器時代][縄文時代（草創期～中期）][古墳時代][奈良時代][平安時代][中世][近世],包蔵地・集落,[旧石器時代]遺物集中箇所 炭化物集中箇所 [縄文時代]集石 土坑 埋甕 [奈良時代][平安時代]住居 [近世]ピット 土坑 溝,尖頭器 礫器 剥片 縄文土器 有舌尖頭器 土師器 須恵器 陶磁器
1320803700,13208,37,ちょうふおかいせき,調布岡遺跡,調布市 国領町八丁目,[縄文時代（前期～中期）][古墳時代],集落,[縄文時代]集石 土坑 [古墳時代]住居 [時代不明]溝,縄文土器 打斧 焼礫 土師器
