JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品,取得住所,色,経度,緯度
1320500100,13205,1,,青梅市№1遺跡,青梅市 成木七丁目,[縄文時代],包蔵地,,縄文土器　剥片,東京都青梅市成木七丁目,blue,139.17085139201362,35.845611698338885
1320500200,13205,2,たかっと（えぬ-1）いせき,高土戸(N-1)遺跡,青梅市 成木七丁目,[縄文時代（早期～前期）],包蔵地,,縄文土器　掻器,東京都青梅市成木七丁目,blue,139.2172343011086,35.83720669245716
1320500300,13205,3,,青梅市№3遺跡,青梅市 成木六丁目,[縄文時代（晩期）][奈良時代][平安時代],包蔵地,,縄文土器　土師器,東京都青梅市成木六丁目,blue,139.23048655921295,35.83044307794786
1320500400,13205,4,きゅうどういせき,久道遺跡,青梅市 成木四丁目,[縄文時代（中期）],包蔵地,,縄文土器,東京都青梅市成木四丁目,blue,139.24727799833408,35.8258888103
1320500500,13205,5,さとうづか,佐藤塚,青梅市 成木八丁目,[近世],石灰窯跡・墓地,,五輪塔,東京都青梅市成木八丁目,blue,139.21647899046062,35.827074973160535
1320500600,13205,6,くりだいらいせき,栗平遺跡,青梅市 成木八丁目,[縄文時代（中期）],包蔵地,,縄文土器,東京都青梅市成木八丁目,blue,139.23203150898615,35.81103971780048
1320500700,13205,7,えびさわ（えぬ-3）いせき,蜆沢(N-3)遺跡,青梅市 成木八丁目,[縄文時代（前期）],包蔵地,,縄文土器,東京都青梅市成木八丁目,blue,139.24387614399592,35.82108997028372
1320500800,13205,8,きゅうどう（えぬ-2）いせき,久道(N-2)遺跡,青梅市 成木四丁目,[縄文時代（中期）],包蔵地,,縄文土器,東京都青梅市成木四丁目,blue,139.24865128934968,35.82460831782399
1320500900,13205,9,こなかおいせき,小中尾遺跡,青梅市 成木二丁目,[旧石器時代][縄文時代（早期～後期）][奈良時代][平安時代],集落,[縄文時代]堅穴状遺構,尖頭器　掻器　縄文土器　打斧　石鏃　けつ状耳飾　須恵器,東京都青梅市成木二丁目,blue,139.26749970971787,35.833738341772175
1320501000,13205,10,なかざと（あんらくじまえ）（えぬ-5）いせき,中里（安楽寺前）(N-5)遺跡,青梅市 成木一丁目,[縄文時代（前期）][平安時代][中世][近世],包蔵地,[中世]溝,縄文土器　土師器　須恵器　陶磁器（白磁・青磁）　木製品（杭）,東京都青梅市成木一丁目,blue,139.2756707923086,35.838247295262576
1320501100,13205,11,なかざと（えぬ-5）いせき,中里(N-5)遺跡,青梅市 成木一丁目,[縄文時代（早期）],包蔵地,,縄文土器,東京都青梅市成木一丁目,blue,139.2766320970673,35.839332747229236
1320501200,13205,12,かみとちやいせき,上栃谷遺跡,青梅市 黒沢三丁目,[縄文時代],包蔵地,,,東京都青梅市黒沢三丁目,blue,139.25472810955893,35.80214065500827
1320501300,13205,13,えぬ-15いせき,N-15遺跡,青梅市 黒沢一丁目,[縄文時代（中期）],包蔵地,,縄文土器　剥片,東京都青梅市黒沢一丁目,blue,139.26791170252318,35.816563008557964
