JASID,自治体コード,遺跡番号,ふりがな,遺跡名,変換元住所,時代,種別,主な遺構/概要,主な出土品,画面経度,画面緯度
13123000100,13123,1,かみこいわいせき,上小岩遺跡,江戸川区 北小岩六丁目 北小岩七丁目,[弥生時代][古墳時代][奈良時代][平安時代][中世][近世],集落,[古墳時代]住居　土坑　[奈良時代][平安時代][中世]井戸　溝状遺構　[近世]水田　溝状遺構　[時代不明]土坑,弥生土器　土師器　須恵器　土錘　陶磁器　羽釜　板碑　加工木材　銭貨,139.88874246540675,35.74357206055883
13123000200,13123,2,,江戸川区№2遺跡,江戸川区 南小岩五丁目,[縄文時代（早期）],包蔵地,,縄文土器　土錘,139.88035976104982,35.722725469198295
13123000300,13123,3,かしまやまかいづか,鹿島山貝塚,江戸川区 本一色三丁目,[中世],貝塚,,土師器　須恵器　陶器　擂鉢　石臼　土錘　馬歯・骨,139.87246333705517,35.72186394418348
13123000400,13123,4,ごぶいちかいづか,五分一貝塚,江戸川区 松島一丁目,[時代不明],貝塚,,陶器　土錘,139.86328608528262,35.70392375110349
13123000500,13123,5,どうがしまかいづか,道ヶ島貝塚,江戸川区 松島三丁目,[中世？],貝塚,,,139.86157064133695,35.71225983955284
13123000600,13123,6,かとりじんじゃかいづか,香取神社貝塚,江戸川区 中央四丁目,[時代不明],貝塚,,土師器　須恵器　土錘　鉄滓　陶磁器　銭貨,139.86746837862435,35.70924598557997
13123000700,13123,7,まつえばしかいづか,松江橋貝塚,江戸川区 東小松川一丁目,[中世？],貝塚,,,139.8658141890787,35.699944514694806
13123000800,13123,8,てんじんやまかいづか,天神山貝塚,江戸川区 一之江五丁目,[中世？],貝塚,,,139.88048343247056,35.69609181595854
13123000900,13123,9,せますやまいせき,勢増山遺跡,江戸川区 上篠崎四丁目,[弥生時代][時代不明],包蔵地,,弥生土器　磨石　土師器　須恵器　土錘,139.90076621856218,35.7089731453749
13123001000,13123,10,つばきちょういせき,椿町遺跡,江戸川区 春江町二丁目,[弥生時代][古墳時代][奈良時代][平安時代],包蔵地,,弥生土器　土師器　須恵器　土錘　陶磁器,139.89165860662894,35.69987061275776
13123001100,13123,11,,江戸川区№11遺跡,江戸川区 春江町三丁目,[時代不明],包蔵地,,土師器,139.88959709215982,35.69436817759332
13123001200,13123,12,ながしまやしきあと,長島屋敷跡,江戸川区 東葛西三丁目,[中世],城館,,,139.88210592311665,35.66823880963058
13123001300,13123,13,しょうかくじしょうろうきそいこう,昇覚寺鐘楼基礎遺構,江戸川区 東葛西七丁目,[近世],社寺,[近世]鐘楼基礎遺構,陶磁器　ホウロク　燈明皿　擂鉢　土錘　瓦　銭貨,139.87988993127217,35.65801962225525
