JASID,自治体コード,遺跡番号,ふりがな,遺跡名,住所,時代,種別,主な遺構/概要,主な出土品,経度,緯度
13106000100,13106,1,りょうげんじかいづか,領玄寺貝塚,台東区 谷中四丁目,[縄文時代（中期～後期）][近世],包蔵地・貝塚,,縄文土器　石斧　石鏃　石錐　砥石　陶磁器,139.7664873,35.72277819
13106000200,13106,2,てんのうじかいづか,天王寺貝塚,台東区 谷中七丁目,[縄文時代（後期）][古墳時代],包蔵地・貝塚,,縄文土器　土師器,139.7723925,35.72591381
13106000300,13106,3,すりばちやまこふん,摺鉢山古墳,台東区 上野公園,[古墳時代],古墳,前方後円墳　近世瓦溜　土杭,古代土器・近世瓦・陶磁器,139.7738078,35.7139363
13106000401,13106,4-1,うえのしのぶがおかいせきぐん,上野忍岡遺跡群,台東区 上野公園　上野二丁目　池之端三丁目,[旧石器時代][縄文時代（早期～晩期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世][近代],包蔵地・集落・社寺・屋敷・その他の墓・その他（花卉園）,,ナイフ形石器　細石刃　剥片　縄文土器　石器　弥生土器　土師器　須恵器　埴輪　陶器（灰釉）　紡錘車　帯金具　陶磁器　焼塩壺　硯　煙管　木製品　和釘　ガラス製品　瓦塔　瓦　墨書付絹布　簪　笄　数珠玉　小形巻物　甕棺　木棺　墓石　石造物　板碑　人骨,139.7736828,35.71547164
13106000402,13106,4-2,うえのしのぶがおかいせきぐん,上野忍岡遺跡群,台東区 上野桜木一丁目,[奈良時代][平安時代][近世],包蔵地・集落・社寺,[近世]土坑　地下式土坑　溝　瓦　廃棄杭,古代土師器　近世陶磁器・瓦・蔵骨器・人骨,139.7701558,35.71985475
13106000403,13106,4-3,うえのしのぶがおかいせきぐん,上野忍岡遺跡群,台東区 谷中七丁目,[奈良時代][平安時代][近世],包蔵地・社寺,[近世]土坑,古代土師器　近世陶磁器・瓦,139.7703325,35.72290362
13106000404,13106,4-4,うえのしのぶがおかいせきぐん,上野忍岡遺跡群,台東区 谷中七丁目,[縄文時代][近世],包蔵地・社寺,,縄文土器・貝　近世陶磁器,139.7736284,35.72539818
13106000405,13106,4-5,うえのしのぶがおかいせきぐん,上野忍岡遺跡群,台東区 上野桜木一丁目,[旧石器時代][縄文時代][古墳時代][奈良時代][平安時代][中世][近世],包蔵地・集落・貝塚・社寺,[旧石器時代]～[中世]礫群　陥穴　ピット群　土杭　貝塚　[近世]地下式土杭　井戸　溝　瓦留　墓杭,縄文～古代土器　近世陶磁器瓦・石造物　旧石器～中世礫・縄文土器・土師器・須恵器・陶器・土器　近世陶磁器・土器類・人骨,139.7701043,35.72060734
13106000406,13106,4-6,うえのしのぶがおかいせきぐん,上野忍岡遺跡群,台東区 上野桜木二丁目,[古墳時代][奈良時代][平安時代][中世][近世],包蔵地・集落・社寺,[古墳時代]住居跡　[近世]土杭,古代土師器　中世陶器　近世陶磁器・瓦,139.7733144,35.72286506
13106000407,13106,4-7,うえのしのぶがおかいせきぐん,上野忍岡遺跡群,台東区 谷中七丁目　上野桜木二丁目,[縄文時代][弥生時代][古墳時代][奈良時代][平安時代][近世],包蔵地・集落・社寺,[奈良・平安]住居跡　[近世]溝状・道路状遺構　瓦溜　土坑,[縄文・弥生～古墳]土器　[奈良・平安]土師器、須恵器　[近世]陶磁器、土器、金属製品,139.7724904,35.72336676
13106000408,13106,4-8,うえのしのぶがおかいせきぐん,上野忍岡遺跡群,台東区 上野桜木一丁目,[旧石器時代][縄文時代][弥生時代][古墳時代][奈良時代][平安時代][中世][近世],包蔵地・集落・社寺,,旧石器時代石器　古墳時代　土師器・石製品（玉類他）　奈良・平安時代　土師器・須恵器　中世陶磁器　近世陶磁器・瓦,139.7754773,35.72326921
13106000409,13106,4-9,うえのしのぶがおかいせきぐん,上野忍岡遺跡群,台東区 上野桜木二丁目,[縄文時代][古墳時代][奈良時代][平安時代][近世],包蔵地・集落・社寺,[古墳時代]住居跡,縄文土器　古墳土師器　近世陶磁器・瓦・鉄製品,139.7745332,35.72296261
13106000410,13106,4-10,うえのしのぶがおかいせきぐん,上野忍岡遺跡群,台東区 上野桜木二丁目,[奈良時代][平安時代][近世],包蔵地・社寺,,近世陶磁器　古代土師器,139.7717008,35.72193132
13106000411,13106,4-11,うえのしのぶがおかいせきぐん,上野忍岡遺跡群,台東区 上野桜木一丁目,[古墳時代][奈良時代][平安時代][近世],包蔵地・集落・社寺,,古代土器　近世土器・陶磁器瓦,139.7719411,35.7207467
13106000412,13106,4-12,うえのしのぶがおかいせきぐん,上野忍岡遺跡群,台東区 谷中七丁目,[縄文時代][弥生時代][奈良時代][平安時代][近世],包蔵地・集落・社寺,[弥生時代]溝・住居跡,縄文弥生土器・須恵器　近世陶磁器,139.7730448,35.72482681
13106000413,13106,4-13,うえのしのぶがおかいせきぐん,上野忍岡遺跡群,台東区 上野桜木二丁目,[縄文時代][古墳時代][奈良時代][平安時代][近世],包蔵地・社寺,[近世]土杭,（古墳時代～古代）土師器・灰釉陶器　（近世）陶磁器・土器・瓦,139.7742757,35.72312985
13106000414,13106,4-14,,上野忍岡遺跡群,台東区 上野桜木二丁目,奈良　平安　近世,包蔵地　社寺,,,139.7726621,35.72271176
13106000500,13106,5,,台東区№5遺跡,台東区 上野公園,[古墳時代],古墳,,鉄鏃　鉄刀身　鉄鐔,139.7754214,35.7186193
13106000600,13106,6,しんざかかいづか,新坂貝塚,台東区 上野桜木一丁目　上野公園,[縄文時代（後期）][弥生時代（後期）],貝塚,,縄文土器　磨斧　貝輪　弥生土器,139.7788419,35.719799
13106000700,13106,7,みょうきづか,妙亀塚,台東区 橋場一丁目,[近世？],その他（塚？）,,,139.8054762,35.72539993
13106000801,13106,8-1,せんそうじいせき,浅草寺遺跡,台東区 浅草一丁目　浅草二丁目,[縄文時代（晩期）][弥生時代][奈良時代][平安時代][中世][近世][近代],包蔵地・集落・社寺・その他（火除地・公園地）,練塀跡　溝跡　火葬墓　井戸　杭列　池跡　井戸跡　土坑　貝殻廃棄　大型土坑　池跡（護岸・中ノ島・築堤・橋）,縄文式土器　弥生式土器　須恵器　布目瓦　中世軒瓦　陶器　古銭　（奈良）鉄鉢形土器・花瓶　（平安）灰釉水瓶　（鎌倉）灰釉土器　錫杖　光背　観音像　（古代）土師器　須恵器　（中世）瓦・陶磁器・土器・蔵骨器・板碑　（近世）陶磁器・瓦・ガラス絵　（近代）陶磁器、金属　ガラス　革製品,139.794425,35.7116722
13106000802,13106,8-2,せんそうじいせき,浅草寺遺跡,台東区 浅草六丁目,[近世],社寺,墓,石造仏（地蔵）　早桶・人骨,139.7995399,35.71708653
13106000900,13106,9,とりごえこふん,鳥越古墳,台東区 鳥越二丁目,[古墳時代],古墳,,土師器　管玉　匂玉　蕨手大刀　銀環,139.7875929,35.70195662
13106001000,13106,10,ゆしま（きりどおしきた）かいづか,湯島（切通し北）貝塚,台東区 池之端一丁目,[縄文時代（前期～晩期）],貝塚,,縄文土器　石鏃　唐製石斧　石皿　石剣　耳飾　土版　骨針　貝輪　人骨　獣骨　打製石斧　縄文（前・後・?）土器　骨首器（ヘアピン）　貝,139.7675451,35.70926132
13106001100,13106,11,もとあさくさいせき,元浅草遺跡,台東区 元浅草一丁目,[近世],社寺・屋敷,[近世]土壙　地下式土坑,陶器　石臼　くし　木製品　土製玩具　獣骨,139.7831294,35.70815492
13106001200,13106,12,,台東区№12遺跡,台東区 浅草橋五丁目,[近世],屋敷,[近世]井戸,陶磁器　銭貨,139.7814471,35.70131062
13106001300,13106,13,へびづかこふん,蛇塚古墳,台東区 上野公園,[古墳時代],古墳,,,139.7739747,35.71767561
13106001400,13106,14,おううんだいこふん,桜雲台古墳,台東区 上野公園,[古墳時代],古墳,,埴輪,139.7756398,35.71442817
13106001500,13106,15,てんのうじもんぜんまちいせき,天王寺門前町遺跡,台東区 谷中七丁目　谷中六丁目,[縄文][近世],包蔵地・その他（町屋）,[近世]地下式坑　土坑,[縄文]土器　[近世]陶磁器　人形,139.7688655,35.72484107
13106001601,13106,16-1,きくやばしにちょうめいせき,菊屋橋二丁目遺跡,台東区 元浅草四丁目,[近世],社寺,,陶磁器　焼塩壺　銭貨　人骨,139.7858245,35.70938153
13106001602,13106,16-2,きくやばしにちょうめいせき,菊屋橋二丁目遺跡,台東区 元浅草四丁目,[近世],社寺,,,139.7860991,35.7092979
13106001700,13106,17,,台東区№17遺跡,台東区 橋場二丁目,[近世],社寺,,,139.8056478,35.72793623
13106001800,13106,18,,台東区№18遺跡,台東区 東浅草一丁目,[近世],社寺,,陶磁器　早桶　人骨,139.801116,35.72099607
13106001900,13106,19,いけのはたしちけんちょういせき,池之端七軒町遺跡,台東区 池之端二丁目,[縄文時代][弥生時代][古墳時代][近世],包蔵地・社寺・屋敷,建物基礎　基擴　井戸跡　土坑　井戸　基礎桶　植栽痕　竹桶　埋甕　道跡　地下式坑　井戸跡　溝　包衣　埋納遺講　土蔵址　上水施設　石礎　硬化面　石敷　瓦敷,弥生土器　土師　陶器　磁器　土器　木　金属　石製品　石造物　部材　陶磁器　瓦　土器　木製品　金属製品　石製品　ガラス,139.7670473,35.71425123
13106002000,13106,20,あさくさまつきよちょういせき,浅草松清町遺跡,台東区 西浅草一丁目,[近世],社寺,[近世]石組　道　建物跡　礎石　円形木棺　甕棺　木槨　甕棺,（近世）陶磁器　土器　木　瓦　金属製品　石製品　木製品　磁器　陶器　?器　土製品　ガラス製品　木棺　墓石,139.7908717,35.71023654
13106002100,13106,21,せんそうじにしいせき,浅草寺西遺跡,台東区 西浅草二丁目　西浅草三丁目　浅草一丁目　浅草二丁目,[近世],社寺・屋敷・その他（道路水路）,[近世]縦杭　石組　建物基礎,陶磁器　瓦　木製品　土器,139.7924681,35.71413924
13106002200,13106,22,,台東区№22遺跡,台東区 元浅草二丁目,[近世],屋敷,,"銭貨（二分金・二朱金2,198枚）",139.7844512,35.71076145
13106002300,13106,23,きたいなりちょう（こうとくじあと）いせき,北稲荷町（広徳寺跡）遺跡,台東区 東上野四丁目,[古墳][奈良][平安][中世][近世],包蔵地　社寺,[近世]建物基礎・埋桶・土坑・小穴,甕棺　銅板　仏像　墨書木札　数珠玉　木製独楽　人骨,139.7796965,35.71253637
13106002400,13106,24,いりやいせき,入谷遺跡,台東区 下谷二丁目,[近世],社寺・その他（町屋・農村地）,[近世]土抗　井戸　基礎桶　植栽痕　竹桶　埋甕　道跡　礎石　溝　貯水施設　他,陶磁器　土器　瓦　木製品　金属製品　石製品等（中国陶磁・西洋陶磁）　近世期の陶磁器　漆器,139.7834277,35.72044442
13106002500,13106,25,,台東区№25遺跡,台東区 蔵前三丁目,[奈良時代][平安時代][近世],包蔵地・社寺,[近世]土坑　井戸,土師器　瓦　火鉢,139.7921934,35.70555305
13106002600,13106,26,,台東区№26遺跡,台東区 西浅草二丁目,[近世],社寺,,,139.7907249,35.71210372
13106002700,13106,27,,台東区№27遺跡,台東区 雷門一丁目,[近世],その他（町屋）,,,139.7934809,35.71038987
13106002800,13106,28,,台東区№28遺跡,台東区 元浅草四丁目,[近世],社寺,,,139.7869918,35.71031542
13106002900,13106,29,,台東区№29遺跡,台東区 浅草橋二丁目,[近世],社寺,,,139.7869746,35.69990265
13106003001,13106,30-1,やなかまじまちょういせき,谷中真島町遺跡,台東区 谷中二丁目,[縄文時代][古墳時代][奈良時代][平安時代][近世],集落・屋敷,[古墳時代]住居跡,縄文土器　土師器　近世陶磁器,139.7653994,35.72164668
13106003002,13106,30-2,やなかまじまちょういせき,谷中真島町遺跡,台東区 谷中二丁目,[縄文時代（中期）][古墳時代][奈良時代][平安時代][近世],包蔵地・屋敷,地下式坑,縄文土器　須恵器　陶磁器　金属製品,139.7664293,35.7212704
13106003100,13106,31,やなかしみずちょういせき,谷中清水町遺跡,台東区 池之端四丁目,[弥生時代][古墳時代][奈良時代][平安時代][近世],包蔵地・集落・屋敷,[古墳時代]大溝　[近世]土坑　建物跡　柱穴　植栽痕　井戸　待避壕,（古代）土師器・須恵器　（近世）陶磁器,139.7688154,35.7186694
13106003201,13106,32-1,てんのうじいせき,天王寺遺跡,台東区 谷中七丁目,[奈良時代][平安時代][近世],包蔵地・集落・社寺,地下式坑　溝,土師器　陶磁器　瓦　動物遺存体,139.7704012,35.7240882
13106003202,13106,32-2,てんのうじいせき,天王寺遺跡,台東区 谷中七丁目,[古墳時代][奈良時代][平安時代][中世][近世],包蔵地・集落・社寺,[古代]土坑 [近世]地下式坑,古代土師器 近世陶磁器 貝殻 中近世陶磁器,139.7701609,35.72744673
