"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","主な遺構/概要","主な出土品","経度","緯度","旧石器時代","縄文時代","弥生時代","古墳時代","奈良時代","平安時代","中世","近世","時代不明","色"
1311100300,13111,"3","せんげんじんじゃふきんよこあなぼぐん","浅間神社付近横穴墓群","大田区 田園調布一丁目","[古墳時代][奈良時代]","横穴墓","","直刀",139.6688781,35.58691091,"0","0","0","1","1","0","0","0","0","purple"
1311100400,13111,"4","ほうらいこうえんないよこあなぼ","宝来公園内横穴墓","大田区 田園調布三丁目","[古墳時代][奈良時代]","横穴墓","","人骨",139.6639081,35.59491805,"0","0","0","1","1","0","0","0","0","purple"
1311100600,13111,"6","しもぬまべぼじゃくだによこあなぼ","下沼部牡若谷横穴墓","大田区 田園調布二丁目","[古墳時代][奈良時代]","横穴墓","","",139.6685298,35.59304569,"0","0","0","1","1","0","0","0","0","purple"
1311100700,13111,"7","しもぬまべいっぽんぎだによこあなぼ","下沼部一本木谷横穴墓","大田区 田園調布三丁目","[古墳時代][奈良時代]","横穴墓","","",139.6670555,35.59697895,"0","0","0","1","1","0","0","0","0","purple"
1311103100,13111,"31","はくさんじんじゃよこあなぼ","白山神社横穴墓","大田区 東嶺町","[古墳時代][奈良時代]","横穴墓","","",139.6833003,35.57892677,"0","0","0","1","1","0","0","0","0","purple"
1311103200,13111,"32","ぞうみょういんないよこあなぼ","増明院内横穴墓","大田区 鵜の木一丁目","[古墳時代][奈良時代]","横穴墓","[古墳時代][奈良時代]切石羨門","鉄刀",139.6870554,35.57543632,"0","0","0","1","1","0","0","0","0","purple"
1311103400,13111,"34","みなみくがはらにちょうめよこあなぼぐん","南久が原二丁目横穴墓群","大田区 南久が原二丁目","[古墳時代][奈良時代]","横穴墓","1基","人骨",139.6849954,35.57589009,"0","0","0","1","1","0","0","0","0","purple"
1311103700,13111,"37","しもぬまべしおみだいよこあなぼぐん","下沼部汐見台横穴墓群","大田区 田園調布三丁目","[古墳時代][奈良時代]","横穴墓","","人骨",139.6665735,35.59169219,"0","0","0","1","1","0","0","0","0","purple"
1311103900,13111,"39","かみぬまべほうらいよこあなぼぐん","上沼部宝来横穴墓群","大田区 田園調布四丁目","[古墳時代][奈良時代]","横穴墓","","直刀　人骨",139.6622981,35.59404778,"0","0","0","1","1","0","0","0","0","purple"
1311104000,13111,"40","かみぬまべはなのよこあなぼぐん","上沼部花野横穴墓群","大田区 田園調布四丁目","[古墳時代][奈良時代]","横穴墓","","",139.6616543,35.59408267,"0","0","0","1","1","0","0","0","0","purple"
1311104100,13111,"41","かみぬまべにいのさとよこあなぼぐん","上沼部新居里横穴墓群","大田区 田園調布四丁目","[古墳時代][奈良時代]","横穴墓","","",139.6619011,35.59460613,"0","0","0","1","1","0","0","0","0","purple"
1311104200,13111,"42","かみぬまべふきあげほくぶよこあなぼぐん","上沼部吹上北部横穴墓群","大田区 田園調布五丁目","[古墳時代][奈良時代]","横穴墓","","木製品　人骨",139.6603512,35.59931764,"0","0","0","1","1","0","0","0","0","purple"
1311104300,13111,"43","かみぬまべふきあげなんぶよこあなぼぐん","上沼部吹上南部横穴墓群","大田区 田園調布五丁目","[古墳時代][奈良時代]","横穴墓","","人骨",139.6582484,35.59718903,"0","0","0","1","1","0","0","0","0","purple"
1311104400,13111,"44","かみぬまべ29ばんちよこあなぼ","上沼部29番地横穴墓","大田区 田園調布五丁目","[古墳時代][奈良時代]","横穴墓","","",139.6576046,35.59610725,"0","0","0","1","1","0","0","0","0","purple"
1311104600,13111,"46","でんえんちょうふほんちょう24ばんよこあなぼ","田園調布本町24番横穴墓","大田区 田園調布本町","[古墳時代][奈良時代]","横穴墓","","",139.6745531,35.58391891,"0","0","0","1","1","0","0","0","0","purple"
