JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品,経度,緯度,色
1310901500,13109,15,おおいかしまいせき,大井鹿島遺跡,品川区 大井五丁目,[縄文時代][古墳時代][奈良時代][近世],包蔵地・集落,[古墳時代][奈良時代]竪穴式住居跡　[近世]土坑　室状遺構,縄文土器　土師器　須恵器　陶磁器　紡錘車　土錘　釘　煙管　銭貨,139.7301397,35.59667274,"rgb(135,206,235)"
1310902300,13109,23,しながわだいば（だいいち）いせき,品川台場（第一）遺跡,品川区 東品川五丁目,[近世],その他（台場）,,,139.7556128,35.6250581,"rgb(135,206,235)"
1310902500,13109,25,はりまのくにみかづきはんもりけかみやしきあといせき,播磨国三日月藩森家上屋敷跡遺跡,品川区 上大崎三丁目,[近世],屋敷,[近世]上屋敷跡・上水施設・下水施設等,陶磁器　瓦,139.7164976,35.63288776,"rgb(135,206,235)"
1310902600,13109,26,じゅしょうじいせき,寿昌寺遺跡,品川区 東五反田三丁目,[近世],その他の墓,[近世]甕棺墓　木棺墓,常滑甕　土製人形等,139.7301923,35.62916453,"rgb(135,206,235)"
1310902700,13109,27,みょうこくじきたいせき,妙国寺北遺跡,品川区 南品川二丁目,[近世],社寺地,砂利採掘坑　石垣　土坑,陶磁器　瓦　鋳型　墓石　仏具,139.7434728,35.61231165,"rgb(135,206,235)"
1310902800,13109,28,いけだやまいせき,池田山遺跡,品川区 東五反田五丁目,[近世],屋敷,水路　土坑　ピット,陶磁器　瓦　土器,139.7227202,35.62978169,"rgb(135,206,235)"
1310902900,13109,29,みなみしながわいしづみごがんいせき,南品川石積護岸遺跡,品川区 南品川一丁目,[近世],その他（護岸跡）,石積護岸,陶磁器,139.744527,35.61387532,"rgb(135,206,235)"
1311200100,13112,1,からすやまいせき,烏山遺跡,世田谷区 北烏山六丁目　 北烏山七丁目　 北烏山八丁目　 北烏山九丁目,[旧石器時代][縄文時代（早期～後期）][古墳時代][奈良時代][平安時代][近世],集落,ピット　陥穴　円形土坑　溝　畝　道路,縄文土器　石器　土師器　石墨　陶磁器　銭貨　煙管,139.59153,35.67412332,"rgb(135,206,235)"
1311200300,13112,3,そしがやおおみちきたいせき,祖師谷大道北遺跡,世田谷区 上祖師谷六丁目　上祖師谷七丁目　給田一丁目,[旧石器時代][縄文時代（中期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世],集落,[旧石器時代]ブロック　[縄文時代]住居　竪穴　[古墳時代]住居　[中世][近世]井戸　地下式土坑　[時期不明]ピット　溝,ナイフ形石器　削器　縄文土器　石器　土師器　鉄鏃　陶器　カワラケ　土師質土器　羽釜　内耳鍋　鉄片　石臼　板碑　漆器　桶,139.596436,35.659981,"rgb(135,206,235)"
1311200500,13112,5,めぐりさわきたいせき,廻沢北遺跡,世田谷区 船橋七丁目　 千歳台四丁目,[旧石器時代][縄文時代（早期～後期）][近世],集落,[旧石器時代]ブロック　[縄文時代]住居　集石土坑　土坑　土壙　[近世]溝,ナイフ形石器　尖頭器　細石刃　細石刃核　掻器　削器　彫器　錐　斧形石器　敲石　石核　縄文土器　土製品　陶磁器　和釘　玩具,139.6152536,35.65838154,"rgb(135,206,235)"
