JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品
133050100,13305,1,,日の出町��1遺跡,日の出町 大久野,[縄文時代（中期）],集落,[縄文時代]敷石住居?,縄文土器　石器
133050200,13305,2,,日の出町��2遺跡,日の出町 大久野,[縄文時代][古墳時代],包蔵地,,縄文土器　土師器
133050300,13305,3,にしおちあいいせき,西落合遺跡,日の出町 大久野,[古墳時代],包蔵地,,土師器
133050400,13305,4,,日の出町��4遺跡,日の出町 大久野,[古墳時代],集落,[古墳時代]住居,土師器
133050500,13305,5,,日の出町��5遺跡,日の出町 平井,[縄文時代（中期）]［古墳時代］,包蔵地,,縄文土器　土師器
133050600,13305,6,,日の出町��6遺跡,日の出町 平井,[縄文時代（中期〜後期）],包蔵地,,縄文土器
133050700,13305,7,,日の出町��7遺跡,日の出町 平井,[縄文時代（中期）],包蔵地,,縄文土器
133050800,13305,8,,日の出町��8遺跡,日の出町 平井,[縄文時代],包蔵地,,磨斧
133050900,13305,9,たけのうえいせき,岳の上遺跡,日の出町 平井,[縄文時代（早期〜後期）][弥生時代],集落,[縄文時代]住居　敷石住居　土坑　埋甕　列石,縄文土器　打斧　磨斧　石鏃　石匙　石錘　石皿　磨石　凹石　石棒　弥生土器
133051000,13305,10,ひがしはらいせき,東原遺跡,日の出町 北伊奈松岩寺前　油田,[縄文時代（早期〜後期）][古墳時代][奈良時代][平安時代][中世][近世],集落　その他の墓,,土師器　中世陶器　板碑　陶磁器
133051100,13305,11,,日の出町��11遺跡,日の出町 平井,[近世],塚,[近世]土坑,
133051200,13305,12,ながいやかたあと,長井館跡,日の出町 大久野,,城館,,
133051300,13305,13,さぢかみやしき（おやしき）あと,幸神屋敷(御屋敷）跡,日の出町 大久野,[中世],城館,,
133051400,13305,14,あらいやしきあと,新井屋敷跡,日の出町 大久野,[中世],城館,[中世]土塁,
133051500,13305,15,みよしのいせきぐんしゅくどおりちく,三吉野遺跡群宿通地区,日の出町 三吉野宿通,[縄文時代（中期）],包蔵地,,石斧
133051600,13305,16,,日の出町��16遺跡,日の出町 平井,[縄文時代（中期）],包蔵地,,縄文土器
133051700,13305,17,みよしのいせきぐんせいぼうちくいせき,三吉野遺跡群清坊地区遺跡,日の出町 平井,[旧石器時代][縄文時代（前期）][古墳時代][奈良時代][平安時代][中世][近世],集落・社寺・窯,[旧石器時代]礫群　[縄文時代]集石土坑　[弥生時代][古墳時代]住居　土坑　[奈良時代][平安時代]住居　掘立柱建物　土師器焼成坑　[中世][近世]閻魔堂？　溝　土坑　地下室,縄文土器　弥生土器　土師器　陶磁器　鉄器　銭貨　板碑　焼礫　人骨
133051800,13305,18,みよしのいせきぐんはけうえ・しももはらちく,三吉野遺跡群欠上・下モ原地区,日の出町 平井,[縄文時代（中期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世],集落,[弥生時代][古墳時代]住居　円形土坑　[中世]?　掘立柱建物　土坑,石斧　敲打器　土師器　刀子　砥石　土製紡錘車　管玉　臼玉
133051900,13305,19,しもひらいこふん,下平井古墳,日の出町 平井,[古墳時代],古墳,,須恵器　鉄鏃　刀子　直刀
133052000,13305,20,かやくぼいせき,萱窪遺跡,日の出町 大久野,[縄文時代（中期）],包蔵地,[縄文時代]住居?,縄文土器　打斧　磨石　焼礫
133052100,13305,21,みよしのいせきぐんしゅくどおりちくいせき,三吉野遺跡群宿通地区遺跡,日の出町 平井,[平安時代][中世][近世],集落,[平安時代]住居　[奈良時代][平安時代]〜[近世]土坑,土師器　陶磁器
133052200,13305,22,どうじょういせき・どうじょうこふんぐん,道場遺跡・道場古墳群,日の出町 平井,[古墳時代][奈良時代][平安時代][近世],集落,[古墳時代]住居　[奈良時代][平安時代]土坑,土師器
133052400,13305,24,みよしのいせきぐにどばたちくいせき,三吉野遺跡群井戸端地区遺跡,日の出町 平井,[縄文時代（草創期〜後期）][奈良時代][平安時代][近世],集落,[縄文時代]竪穴式遺構　住居　土坑　埋没谷　陥し穴　集石土坑　円形土坑　[古墳時代][中世]竪穴式遺構　土坑　[奈良時代][平安時代]住居　土坑　[近世][現]土坑　防空壕,縄文土器　打斧　石鏃　石匙　土師器　須恵器　陶磁器　釘　打製石斧　磨製石斧　礫器　陶器　瓦質土器　金属製軍需品等
133052500,13305,25,こうみょうじいせき,光明寺遺跡,日の出町 大字大久野字細尾,[中世][近世],社寺,土坑　掘立建物　焼土跡,中世陶器　近世陶磁器　銭
133052600,13305,26,おざきはらいせき,尾崎原遺跡,日の出町 大字大久野字萱窪,[縄文][中世][近世],集落,竪穴状遺構,縄文土器
