"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","主な遺構／概要","主な出土品"
1311500100,13115,1,"","杉並区№1遺跡","杉並区 上井草二丁目","[縄文時代（早期）]","包蔵地","","縄文土器"
1311500300,13115,3,"いぐさせきしーちてん","井草遺跡C地点","杉並区 上井草三丁目","[旧石器時代][縄文時代（早期・中期）][古墳時代][近世]","包蔵地","[旧石器時代]ブロック　礫群　[縄文時代]炉穴　遺物集中部　[近世]溝状遺構　土坑","ナイフ形石器　台形石器　縄文土器　敲石　土師器　磁器　陶器"
1311500400,13115,4,"いぐさいせき","井草遺跡","杉並区 上井草四丁目","[旧石器時代][縄文時代（草創期～早期）][古墳時代]","包蔵地　集落","[縄文時代]住居　土坑","[縄]縄文土器　斧形石器　敲石　特殊磨石　石皿"
1311500600,13115,6,"いぐさいせきびーちてん","井草遺跡Ｂ地点","杉並区 上井草四丁目","[旧石器時代][縄文時代（中期）]","包蔵地","[旧石器時代]ブロック","[旧]ナイフ形石器　スクレイパー　剥片"
1311500700,13115,7,"","杉並区№7遺跡","杉並区 下井草一丁目","[縄文時代（中期）][弥生時代][古墳時代]","包蔵地","","縄文土器　弥生土器　土師器"
1311500800,13115,8,"","杉並区№8遺跡","杉並区 下井草二丁目","[縄文時代（後期）][弥生時代]","包蔵地","","縄文土器　弥生土器"
1311500900,13115,9,"","杉並区№9遺跡","杉並区 下井草二丁目","[縄文時代（後期）]","包蔵地","","縄文土器"
1311501000,13115,10,"","杉並区№10遺跡","杉並区 下井草三丁目","[縄文時代（早期・後期）]","包蔵地","","縄文土器"
1311501100,13115,11,"","杉並区№11遺跡","杉並区 下井草四丁目","[縄文時代]","包蔵地","","縄文土器"
1311501200,13115,12,"いおぎさんちょうめいせき","井荻三丁目遺跡","杉並区 善福寺一丁目　 善福寺二丁目","[縄文時代（中期）]","集落","[縄文時代]住居","縄文土器　打斧　石鏃"
1311501300,13115,13,"","杉並区№13遺跡","杉並区 善福寺一丁目","[縄文時代]","包蔵地","","縄文土器"
1311501400,13115,14,"いぐさはちまんいせき","井草八幡遺跡","杉並区 善福寺一丁目","[縄文時代（中期・後期）][古墳時代]","集落","[縄文時代]住居","縄文土器　打斧　石鏃　土師器"
1311501500,13115,15,"ぜんぷくじいせき","善福寺遺跡","杉並区 善福寺二丁目　 善福寺三丁目　 善福寺四丁目","[旧石器時代][縄文時代（早期～後期）]","集落","[旧石器時代]礫群　土坑　[縄文時代]炉穴　土坑　土坑群","縄文土器　打斧　磨斧　石鏃　石匙　土偶　細石刃　細石刃核　スクレイパー　土器　石鏃　石斧　スタンプ型石器　磨石　石皿　礫器"
1311501600,13115,16,"なかどおりきたいせき","中通北遺跡","杉並区 今川二丁目","[旧石器時代][縄文時代][近世]","包蔵地","[旧石器時代]ブロック　[縄文時代]土坑　[近世]土坑　溝","縄文土器　尖頭状石器　剥片　陶器　磁器　金属製品"
1311501700,13115,17,"おそのいいせき","遅ノ井遺跡","杉並区 今川三丁目　 今川四丁目　 上井草三丁目","[縄文時代（早期・中期）]","包蔵地","","縄文土器　打斧　石鏃　土師器"
1311501800,13115,18,"","杉並区№18遺跡","杉並区 清水三丁目","[縄文時代（中期）][古墳時代]","包蔵地","","縄文土器　土師器　須恵器"
1311501900,13115,19,"みょうしょうじいせき","妙正寺遺跡","杉並区 清水三丁目","[縄文時代（早期～前期・後期）]","包蔵地","","縄文土器　打斧　石槍　石鏃　石棒"
1311502100,13115,21,"","杉並区№21遺跡","杉並区 清水三丁目","[縄文時代]","包蔵地","","縄文土器"
1311502200,13115,22,"","杉並区№22遺跡","杉並区 本天沼二丁目","[古墳時代]","包蔵地","","土師器"
1311502300,13115,23,"","杉並区№23遺跡","杉並区 本天沼三丁目","[縄文時代（前期）][弥生時代]","包蔵地","","縄文土器　打斧　石錘　けつ状土製品?"
1311502400,13115,24,"むかいまちいせき","向井町遺跡","杉並区 本天沼三丁目","[縄文時代（後期）][古墳時代]","集落","[縄文時代]住居　[古墳時代]住居","縄文土器　打斧　石皿　土錘　土偶　土師器"
1311502500,13115,25,"こやまいせき","小山遺跡","杉並区 阿佐谷北五丁目","[縄文時代（後期）][古墳時代][奈良時代]","包蔵地","","縄文土器　打斧　磨斧　石鏃　土師器"
1311502600,13115,26,"こうみょういんみなみいせき","光明院南遺跡","杉並区 上荻二丁目　南荻窪四丁目","[旧石器時代][縄文時代（草創期～後期）][近世]","集落","[旧石器時代]ブロック　礫群　[縄文時代]住居 屋外埋甕　焼土跡　土坑　遺物集中部　集石　[近世]溝状遺構","[旧]剥片　彫器　ナイフ形石器　スクレイパー　尖頭器　石核　[縄]縄文土器　土器片鐘　石鏃　打製石斧　磨製石斧　石皿　磨石　石棒　軽石製石製品　有舌尖頭器　楔形石器　敲石　スタンプ形石器　スクレイパー　凹石　[近]磁器　陶器"
1311502700,13115,27,"なかたいせき","中田遺跡","杉並区 上荻三丁目","[縄文時代（中期）]","集落","[縄文時代]住居","縄文土器　打斧　石鏃"
1311502800,13115,28,"","杉並区№28遺跡","杉並区 上荻三丁目","[縄文時代（中期）]","包蔵地","","縄文土器"
1311502900,13115,29,"","杉並区№29遺跡","杉並区 上荻四丁目","[縄文時代（前期～後期）]","包蔵地","","縄文土器　打斧　磨斧　石鏃　石錐　石錘"
1311503000,13115,30,"","杉並区№30遺跡","杉並区 西荻北一丁目","[縄文時代]","包蔵地","","縄文土器"
1311503100,13115,31,"まるやまいせき","丸山遺跡","杉並区 西荻北二丁目","[縄文時代][平安時代]","集落","[縄文時代]土杭　[平安時代]住居跡","縄文土器　石器　土師器"
1311503200,13115,32,"","杉並区№32遺跡","杉並区 南荻窪三丁目","[縄文時代]","包蔵地","","縄文土器"
1311503300,13115,33,"","杉並区№33遺跡","杉並区 南荻窪四丁目","[縄文時代]","包蔵地","","縄文土器"
1311503400,13115,34,"","杉並区№34遺跡","杉並区 荻窪一丁目","[縄文時代（後期）]","集落","[縄文時代]住居","縄文土器　打斧　凹石"
1311503500,13115,35,"にしだしょうがっこうきたいせき","西田小学校北遺跡","杉並区 荻窪一丁目","[縄文時代（中期）][弥生時代]","集落","[縄文時代]住居跡　土坑　溝状遺構　[弥生時代]住居","縄文土器　打斧　弥生土器　土製品　石鏃"
1311503700,13115,37,"かわなみいせき","川南遺跡","杉並区 荻窪二丁目","[旧石器時代][縄文時代][古墳時代][奈良時代][平安時代]","包蔵地","","縄文土器　土師器　ナイフ形石器　掻器　石核　剥片"
1311503800,13115,38,"","杉並区№38遺跡","杉並区 荻窪三丁目","[縄文時代（中期）]","包蔵地","","縄文土器　打斧　石槍　石鏃　石皿"
1311503900,13115,39,"","杉並区№39遺跡","杉並区 荻窪四丁目","[縄文時代（中期）]","包蔵地","","縄文土器　打斧"
1311504000,13115,40,"","杉並区№40遺跡","杉並区 荻窪五丁目","[縄文時代（中期～後期）]","集落","[縄文時代]住居","縄文土器"
1311504100,13115,41,"","杉並区№41遺跡","杉並区 成田西一丁目","[縄文時代]","包蔵地","","縄文土器"
1311504200,13115,42,"","杉並区№42遺跡","杉並区 成田西一丁目","[縄文時代（早期）]","包蔵地","","縄文土器"
1311504300,13115,43,"","杉並区№43遺跡","杉並区 成田西二丁目","[古墳時代]","包蔵地","","土師器"
1311504400,13115,44,"","杉並区№44遺跡","杉並区 成田西三丁目","[縄文時代（早期・中期）][古墳時代]","包蔵地","","縄文土器　打斧　土師器"
1311504500,13115,45,"くまのじんじゃいせき","熊野神社遺跡","杉並区 成田西三丁目","[縄文時代（早期～後期）][弥生時代][古墳時代]","集落","[縄文時代]住居　[古墳時代]住居","縄文土器　打斧　磨斧　石槍　石鏃　土師器"
1311504600,13115,46,"やといせき","谷戸遺跡","杉並区 成田西三丁目","[縄文時代（前期～後期）][古墳時代]","集落","[縄文時代]住居","縄文土器　打斧　磨斧　石匙　石錐　石錘　石皿　凹石　土師器　硬玉製管玉"
1311504700,13115,47,"やくらだいみなみいせき","矢倉台南遺跡","杉並区 成田西四丁目　 荻窪一丁目","[縄文時代（草創期～後期）][弥生時代][古墳時代][中世]","集落","[古墳時代]住居　[縄文時代]住居跡　[中世]溝状遺構","縄文土器　打斧　石鏃　石匙　石皿　弥生土器　土錘　土師器　有舌尖頭器　翡翠製石製品　須恵器　陶器　礫石器"
1311504800,13115,48,"やくらだいいせき","矢倉台遺跡","杉並区 成田西四丁目","[縄文時代（中期）]［古墳時代］","包蔵地　集落","[古墳時代]住居　環濠　ピット","縄文土器　打斧　土師器　土錘　支脚"
1311504900,13115,49,"なりむねしらはたいせき","成宗白幡遺跡","杉並区 成田東一丁目　 成田東二丁目","[縄文時代（早期～中期）][古墳時代]","集落","[古墳時代]住居","縄文土器　打斧　土師器"
1311505000,13115,50,"","杉並区№50遺跡","杉並区 成田東二丁目","[縄文時代（中期）][弥生時代]","包蔵地","","縄文土器　弥生土器"
1311505100,13115,51,"","杉並区№51遺跡","杉並区 成田東二丁目","[縄文時代（前期）]","集落","[縄文時代]住居","縄文土器"
1311505200,13115,52,"","杉並区№52古墳","杉並区 大宮一丁目","[奈良時代?]","横穴墓","",""
1311505300,13115,53,"どうかくいせき","道角遺跡","杉並区 大宮二丁目　成田西一丁目","[縄文時代（草創期～中期）][弥生時代（後期）][近世]","集落","[弥生時代]住居跡　[近世]溝状道構","縄文土器　石斧　尖頭器　スクレイパー"
1311505400,13115,54,"おおみや（わだぼり）いせき","大宮(和田堀)遺跡","杉並区 大宮二丁目","[旧石器時代][縄文時代（草創期～後期）][弥生時代]","集落（方形周溝墓）","[弥生時代]方形周溝墓　都指定史跡-大宮遺跡　（昭和54.3.31）","縄文土器　礫器　石鏃　石匙　弥生土器　勾玉　ガラス小玉　土師器"
1311505600,13115,56,"","杉並区№56遺跡","杉並区 大宮二丁目","[旧石器時代][古墳時代]","集落","[旧石器時代]礫群","土師器"
1311505700,13115,57,"","杉並区№57遺跡","杉並区 大宮二丁目","[奈良時代?]","横穴墓","","刀子　人骨"
1311505800,13115,58,"","杉並区№58古墳","杉並区 松ノ木一丁目","[奈良時代]","横穴墓","",""
1311505900,13115,59,"まつのきいせき","松ノ木遺跡","杉並区 松ノ木一丁目","[縄文時代（中期）][弥生時代][古墳時代]","集落","[不]住居","縄文土器　石斧　石鏃　凹石　土錘　土偶　炭化米　炭化材　弥生土器　土師器　支脚"
1311506000,13115,60,"ほうなんちょうみねいせきぐん（ほうなんみね・みねみなみ・ほうなん・みね・かまでらひがし・かまでら）いせき","方南町峰遺跡群（方南峰・峰南・方南・峯・釜寺東・釜寺）遺跡","杉並区 堀ノ内一丁目　 方南二丁目","[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）][古墳時代][奈良時代][近世]","集落","[旧石器時代]ブロック　礫群　[縄文時代]住居　炉穴　遺物集中部　炉跡　[弥生時代]住居　環濠　[古墳時代]住居　[近世]溝状遺構　地下室　地下坑","ナイフ形石器　彫器　スクレイパー　敲石　石核　剥片　縄文土器　土製蓋　ミニチュア土器　土偶　打製石斧　磨製石斧石鏃　石錘　石皿　磨石　凹石　石棒　炭化材　炭化米　弥生土器　ガラス小玉　砥石　土師器　須恵器　支脚　紡錘車　鉄環　磁器　陶器"
1311506100,13115,61,"","杉並区№61遺跡","杉並区 堀ノ内一丁目","[古墳時代]","包蔵地","","土師器"
1311506200,13115,62,"せいびだいいせき","済美台遺跡","杉並区 大宮一丁目　 堀ノ内一丁目","[旧石器時代][縄文時代（草創期～後期）][弥生時代][古墳時代][奈良時代]","集落","[旧石器時代]礫群　[縄文時代]住居　[弥生時代]周溝(方形周溝墓?)　杉並125参照","剥片　縄文土器　打斧　石鏃　石槍　石匙　土錘　土偶　弥生土器　滑石製勾玉　土師器　須恵器　炭化物"
1311506300,13115,63,"むこうやまいせき","向山遺跡","杉並区 堀ノ内二丁目","[縄文時代（中期）][平安時代][中世][近世]","集落跡","[古墳時代]住居　[平安時代]住居　[近世]竪穴状遺構　柱穴列　溝状遺構","縄文土器　土師器　須恵器　支脚　紡錘車　陶器　カワラケ　板碑　陶磁器　抜型　人形　泥面子　土笛　ままごと道具"
1311506400,13115,64,"じょうづかくぼいせき","定塚久保遺跡","杉並区 堀ノ内二丁目","[旧石器時代][縄文時代（草創期～早期）][縄文時代（中期）][近世]","包蔵地","[旧石器時代]礫群　[縄文時代]石器集中部　土坑　[近世]焼土集中部　溝状遺構","[旧]剥片　[縄]縄文土器　槍先形尖頭器　[近]陶磁器"
1311506500,13115,65,"ほりのうちなかどおりいせき","堀ノ内中通遺跡","杉並区 堀ノ内二丁目","[縄文時代（中期）][弥生時代][古墳時代][奈良時代][平安時代]","包蔵地","[縄文時代]住居","縄文土器　土師器　須恵器"
1311506600,13115,66,"","杉並区№66遺跡","杉並区 堀ノ内二丁目","[縄文時代（後期）][古墳時代]","包蔵地","","縄文土器　打斧　土師器"
1311506700,13115,67,"","杉並区№67遺跡","杉並区 和田一丁目","[縄文時代（後期）][弥生時代]","包蔵地","","縄文土器　弥生土器"
1311506800,13115,68,"ほんむらはらいせきしーちてん","本村原遺跡C地点","杉並区 和田一丁目","[縄文時代（早期～後期）][弥生時代（後期）][古墳時代][平安時代][近世]","包蔵地・集落","[縄文時代]陥穴　[弥生時代]住居　[平安時代]住居　[近世]土坑　溝　植栽跡　段切り状遺構","縄文土器　弥生土器　埴輪　土師器　須恵器　陶磁器　炉器　土器　瓦　土製品　石製品　金属製品　銭貨　ガラス製品"
1311507000,13115,70,"","杉並区№70遺跡","杉並区 和田二丁目","[古墳時代][奈良時代]","横穴墓","1基","人骨"
1311507100,13115,71,"わだちゅうがっこういせき","和田中学校遺跡","杉並区 和田二丁目","[縄文時代（中期）][古墳時代]","包蔵地","","縄文土器　石鏃　土師器"
1311507200,13115,72,"ほんじんやまいせき","本陣山遺跡","杉並区 堀ノ内二丁目　和田二丁目","[縄文時代（早期～中期）][弥生時代（後期）][古墳時代][中世][近世]","集落","[縄文時代]炉穴　集石　土坑　ピット　[弥生時代]住居跡　[中世][近世]掘立柱建物","（旧石器）敲石　剥片類　（縄文）土器　土製円板　（弥生）土器　ガラス小玉　（古墳時代以降）土師器　砥石　鉄環　カワラケ　陶磁器　鉄器など"
