JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構／概要,主な出土品
13224000100,13224,1,うわっぱらいせき,上っ原遺跡,多摩市 和田,[縄文時代（早期〜後期）][古墳時代][奈良時代][平安時代],包蔵地,,縄文土器　土師器　須恵器
13224000201,13224,2-1,なかわだおうけつぼぐん,中和田横穴墓群,多摩市 和田,[古墳時代],横穴墓,17基,土師器　須恵器　鉄鏃　刀子　玉　ガラス玉　大刀　鑷子　人骨
13224000202,13224,2-2,こうせいそうびょういんないおうけつぼぐん,厚生荘病院内横穴墓群,多摩市 和田,[古墳時代],横穴墓,2基,人骨
13224000400,13224,4,うすいづかこふん,臼井塚古墳,多摩市 百草,[古墳時代],古墳,[古墳時代]石室,刀子
13224000500,13224,5,いなりづかこふん,稲荷塚古墳,多摩市 百草,[古墳時代],古墳,※遺跡範囲のすべてが都指定史跡稲荷塚古墳となっています。,土師器
13224000600,13224,6,こうしんづかこふん,庚申塚古墳,多摩市 和田,[古墳時代],古墳,,
13224000700,13224,7,たまにゅーたうん№255いせき,多摩ニュータウン№255遺跡,多摩市 愛宕一丁目,[縄文時代],包蔵地,,縄文土器
13224000800,13224,8,たまにゅーたうん№36いせき,多摩ニュータウン№36遺跡,多摩市 愛宕一丁目,[縄文時代（前期）][奈良時代][平安時代],包蔵地,,縄文土器　土師器　須恵器
13224000900,13224,9,たまにゅーたうん№37いせき,多摩ニュータウン№37遺跡,多摩市 愛宕一丁目　 和田三丁目,[縄文時代（前期）][平安時代],集落,[縄文時代]住居　土坑　[平安時代]鍛冶,縄文土器　石皿　磨石　土師器　須恵器　陶器　鉄製品　鞴口
13224001000,13224,10,わだ・もぐさいせき,和田・百草遺跡,多摩市 和田三丁目　 百草　 和田,[旧石器時代][縄文時代（早期〜後期）][古墳時代][奈良時代][平安時代][中世][近世],集落・屋敷,[旧石器時代]ユニット　[縄文時代]住居　集石　炉穴　陥し穴　土坑　土壙　[古墳時代]住居　溝　方形周溝墓　[奈良時代][平安時代]住居　土坑　溝　[中世]地下式土坑　[中世][近世]建物　井戸　柵,石器　縄文土器　石器　土師器　須恵器　カワラケ　鉄器　石臼
13224001200,13224,12,もぐさひがしいせき,百草東遺跡,多摩市 落川　 貝取,[縄文時代（前期）][平安時代],包蔵地,,
13224001300,13224,13,おちかわみなみ,落川南遺跡,多摩市 落川,[縄文時代（前期〜中期）],包蔵地,[縄文時代]土坑,縄文土器　石器　鉄鏃
