JASID,自治体コード,遺跡番号,ふりがな,遺跡名,変換元住所,時代,種別,主な遺構/概要,主な出土品
1330700100,13307,1,なかのだいらいせき,中之平遺跡,檜原村 藤原,[縄文時代（早期）],集落,[縄文時代]炉穴,縄文土器　尖頭器　石鏃　掻器　彫器
1330700200,13307,2,おおたけさんいせき,大岳山遺跡,檜原村 白倉,[縄文時代（中期）],包蔵地,,縄文土器
1330700300,13307,3,くらかけいせき,倉掛遺跡,檜原村 倉掛,[縄文時代（早期〜前期）],包蔵地,,縄文土器
1330700400,13307,4,おねどおり（どうひら）いせき,尾根通り(堂平）遺跡,檜原村 尾根通,[縄文時代（早期〜中期）],集落,[縄文時代]住居,縄文土器　磨斧　石皿　石棒
1330700500,13307,5,おうじがしょういせき,王子ヶ城遺跡,檜原村 小岩　 王子ケ原,[旧石器時代][縄文時代（早期・中期〜晩期）],集落,[縄文時代]敷石住居,細石刃核　縄文土器　打斧　磨斧　石鏃　掻器　石錘　耳栓　石棒　石剣　土偶
1330700600,13307,6,かずま・おおだいらいせき,数馬・大平遺跡,檜原村 数馬,[縄文時代（早期〜前期）],包蔵地,,縄文土器
1330700700,13307,7,うずしきいせき,笛吹遺跡,檜原村 人里,[縄文時代（中期）],包蔵地,,縄文土器
1330700800,13307,8,かみだいらいせき,上平遺跡,檜原村 人里,[縄文時代（中期）],包蔵地,,縄文土器
1330700900,13307,9,たかおばらいせき,高尾原遺跡,檜原村 人里,[縄文時代（早期）],包蔵地,,縄文土器
1330701000,13307,10,いでのいせき,出野遺跡,檜原村 南郷,[縄文時代（中期）],包蔵地,,縄文土器　石皿
1330701100,13307,11,かみかわのり・みねいせき,上川苔・峰遺跡,檜原村 上川乗,[縄文時代（中期）],集落,[縄文時代]住居　炉,縄文土器
1330701200,13307,12,かみかわのり・くまのじんじゃえーちてんいせき,上川苔・熊野神社A地点遺跡,檜原村 上川乗,[縄文時代（中期）],集落,[縄文時代]住居　炉,縄文土器　石鏃　剥片
1330701300,13307,13,よまごいせき,与孫遺跡,檜原村 小沢,[縄文時代（前期〜後期）],包蔵地,,縄文土器
1330701400,13307,14,,檜原村��14遺跡,檜原村 白倉,[縄文時代（中期）],包蔵地,,縄文土器
1330701500,13307,15,,檜原村��15遺跡,檜原村 白倉,[縄文時代（中期）],包蔵地,,縄文土器
1330701600,13307,16,かんだいらいせき,寒平遺跡,檜原村 寒平,[縄文時代（早期・中期〜後期）],包蔵地,,縄文土器
1330701700,13307,17,ぞうしっぱらいせき,雑司原遺跡,檜原村 本宿,[縄文時代（中期〜晩期）],集落,[縄文時代]敷石住居?,縄文土器　石皿　土師器　須恵器
1330701800,13307,18,どうさかいせき,堂坂遺跡,檜原村 本宿,[縄文時代（中期〜後期）],包蔵地,,縄文土器
1330701900,13307,19,ひのはらじょう（ほんじゅくじょう）あと,檜原城（本宿城）跡,檜原村 本宿,[中世],城館,[中]物見櫓　堀切　曲輪,
1330702000,13307,20,かげったいせき,陰ツ田遺跡,檜原村 本宿,[縄文時代（早期）],包蔵地,,縄文土器
1330702100,13307,21,みなみひのはらしょうがっこういせき,南檜原小学校遺跡,檜原村 上川乗,[縄文時代（中期）],包蔵地,,縄文土器　石皿
1330702200,13307,22,てらやしきいせき,寺屋敷遺跡,檜原村 柏木野,[縄文時代（中期）],包蔵地,,縄文土器　打斧
1330702300,13307,23,おおのいせき,大野遺跡,檜原村 笹野　笹平　大野,[縄文時代（前期〜中期）],包蔵地,,縄文土器　石鏃
1330702400,13307,24,,檜原村��24遺跡,檜原村 御前山,[縄文時代],包蔵地,,石匙
1330702500,13307,25,,檜原村��25遺跡,檜原村 大ダワ,[時代不明],包蔵地,,剥片
1330702600,13307,26,,檜原村��26遺跡,檜原村 三都郷,[時代不明],包蔵地,,土器
1330702700,13307,27,,檜原村��27遺跡,檜原村 三都郷,[縄文時代（中期）],包蔵地,,縄文土器　石錘
1330702800,13307,28,ちょうじゃやしきいせき,長者屋敷遺跡,檜原村 笹平,[縄文時代（中期）],包蔵地,,縄文土器
1330702900,13307,29,ひがしがわいせき,東川遺跡,檜原村 南郷,[縄文時代（前期〜後期）],包蔵地,,縄文土器　打斧　石錘　剥片
1330703000,13307,30,こにしいせき,小西遺跡,檜原村 南郷,[縄文時代（中期）],包蔵地,,縄文土器
1330703100,13307,31,こもりはらいせき,子守原遺跡,檜原村 人里,[縄文時代（早期・中期）],包蔵地,,縄文土器　石鏃　剥片
