JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構／概要,主な出土品
1311300100,13113,1,,渋谷区№1遺跡,渋谷区 本町三丁目,[縄文時代],包蔵地,,縄文土器
1311300200,13113,2,,渋谷区№2遺跡,渋谷区 代々木四丁目,[縄文時代][古墳時代][奈良時代][平安時代][近世],包蔵地・古墳,円墳,縄文土器　土師器　陶磁器
1311300300,13113,3,よよぎはちまんいせき,代々木八幡遺跡,渋谷区 代々木五丁目,[縄文時代（早期～後期）],集落,[縄文時代]住居,縄文土器　打斧　磨斧　石鏃　石匙　石錐　石錘　凹石　敲石　石棒
1311300400,13113,4,,渋谷区№4遺跡,渋谷区 代々木五丁目,[古墳時代],古墳,円墳?,石棺
1311300600,13113,6,,渋谷区№6遺跡,渋谷区 代々木五丁目,[縄文時代（中期）],包蔵地,,縄文土器　打斧　磨斧　石鏃
1311300700,13113,7,,渋谷区№7遺跡,渋谷区 大山町,[縄文時代（中期）],包蔵地,,縄文土器　石斧　石鏃　石皿
1311300800,13113,8,,渋谷区№8遺跡,渋谷区 西原三丁目,[縄文時代（中期）],包蔵地,,縄文土器
1311300900,13113,9,かねづかこふん,カネ塚古墳,渋谷区 西原三丁目,[古墳時代],古墳,円墳,武装埴輪　玉　?製鏡　金環　銭貨
1311301000,13113,10,,渋谷区№10遺跡,渋谷区 上原三丁目,[縄文時代（中期）],包蔵地,,縄文土器　石斧　凹石
1311301100,13113,11,,渋谷区№11遺跡,渋谷区 上原三丁目,[縄文時代（中期）],包蔵地,,縄文土器　石斧
1311301200,13113,12,,渋谷区№12遺跡,渋谷区 富ケ谷一丁目,[古墳時代][奈良時代],横穴墓,,
1311301300,13113,13,,渋谷区№13遺跡,渋谷区 富ケ谷一丁目,[古墳時代][奈良時代],横穴墓,,
1311301400,13113,14,,渋谷区№14遺跡,渋谷区 富ケ谷二丁目,[古墳時代],古墳,円墳,
1311301500,13113,15,,渋谷区№15遺跡,渋谷区 富ケ谷二丁目,[縄文時代（中期）],包蔵地,,縄文土器　打斧
1311301600,13113,16,,渋谷区№16遺跡,渋谷区 代々木神園町,[縄文時代（中期）],包蔵地,,縄文土器　打斧　凹石
1311301700,13113,17,,渋谷区№17遺跡,渋谷区 代々木神園町,[古墳時代],古墳,円墳,須恵器　鉄刀
1311302000,13113,20,めいじじんぐうきたいけえーかいづか,明治神宮北池A貝塚,渋谷区 代々木神園町,[縄文時代（後期～晩期],貝塚,,縄文土器　独鈷石
1311302100,13113,21,めいじじんぐうきたいけびーかいづか,明治神宮北池B貝塚,渋谷区 代々木神園町,[縄文時代（中期）],包蔵地,,縄文土器　打斧
1311302200,13113,22,,渋谷区№22遺跡,渋谷区 代々木神園町,[古墳時代],古墳,円墳,箱式石棺
1311302300,13113,23,,渋谷区№23遺跡,渋谷区 代々木神園町,[古墳時代],古墳,円墳3基,須恵器　鏡　鉄刀
