JASID,自治体コード,遺跡番号,ふりがな,遺跡名,変換元住所,時代,種別,主な遺構/概要,主な出土品
1321400100,13214,1,くまのごういせき,熊ノ郷遺跡,国分寺市 西恋ヶ窪三丁目 西恋ヶ窪四丁目,[旧石器時代][縄文時代],集落,[旧石器時代]石器集中部 礫群,尖頭器 石刃 礫器 剥片
1321400200,13214,2,こいがくぼいせき,恋ヶ窪遺跡,国分寺市 西恋ヶ窪一丁目　 東恋ヶ窪一丁目　 東恋ヶ窪三丁目,[旧石器時代][縄文時代（早期・中期～後期）][奈良時代][平安時代][中世],集落,[縄文時代]住居　敷石住居　集石　土坑　屋外埋甕　[中世]溝,(縄文)縄文土器　打斧　磨斧　石槍　石鏃　掻器　彫器　石匙　石錐　ピエス・エスキーユ　スタンプ形石器　敲石　砥石　土錘　土製円板　耳飾　硬玉製大珠　器台　(中世)陶器
1321400300,13214,3,こいがくぼみなみいせき,恋ヶ窪南遺跡,国分寺市 西恋ヶ窪一丁目 東恋ヶ窪一丁目 泉町一丁目,[旧石器時代][縄文時代（早期・中期）],集落,[縄文時代]住居 集石土坑 土坑,縄文土器
1321400500,13214,5,はねざわいせき,羽根沢遺跡,国分寺市 東恋ヶ窪一丁目、三丁目,[縄文時代（早期・中期）][奈良時代][平安時代],集落,[縄文時代]住居　敷石住居　集石　土坑　埋甕　[古代]井戸,縄文土器　打斧　磨斧　石鏃　石匙　石皿　磨石　土製円板　耳飾
1321400600,13214,6,,国分寺市№6遺跡,国分寺市 本町一丁目 本町二丁目 本多一丁目,[縄文時代（中期）],包蔵地,,縄文土器
1321400700,13214,7,たまらんざかいせき,多摩蘭坂遺跡,国分寺市 内藤一丁目 内藤二丁目,[旧石器時代][縄文時代][奈良時代],集落,[旧石器時代]ユニット礫群,(旧石器時代)ナイフ形石器 尖頭器 角錐状石器 掻器 彫器 打斧 礫器 敲石 (奈良時代)銭貨 須恵器
1321400800,13214,8,はなざわにしいせき,花沢西遺跡,国分寺市 本町四丁目 南町三丁目 泉町一丁目 東恋ヶ窪一丁目,[旧石器時代][縄文時代][弥生時代],集落,[縄文時代]住居 土坑 埋甕,縄文土器 打斧 磨斧 石鏃 石匙 石錐 スタンプ形石器 石棒 弥生土器
1321400900,13214,9,ひかげやまいせき,日影山遺跡,国分寺市 泉町二丁目 西恋ヶ窪一丁目,[旧石器時代][縄文時代（中期）][奈良時代][平安時代][中世],包蔵地,[旧石器時代]石器集中部 集石 ユニット 礫群 [縄文時代]竪穴住居 [歴史時代]掘立柱建物 柵列 井戸 火葬墓 土壙墓 井戸 道路跡（鎌倉街道） 溝 土坑 集石 特殊遺構,(旧石器時代)尖頭器 ナイフ形石器 スクレイパー 剥片遺物 石核 (縄文時代)土器 打製石斧 (歴史時代)土師質土器 瓦質土器 土器（在地土器） 陶磁器 銭貨 金属製品（刀子） 砥石 板碑 銭貨 鉄製品（鉄釘） 瓦
1321401000,13214,10,むさしこくぶんじあと（そうにじ）,武蔵国分寺跡（僧尼寺）,国分寺市 西元町一丁目 西元町二丁目 西元町三丁目 西元町四丁目 東元町三丁目 東元町四丁目,[奈良時代][平安時代],社寺跡,[奈良時代][平安時代]金堂 尼寺金堂 講堂 中門 塔 僧坊 尼坊 鐘楼 憧竿 回廊 住居 掘立柱建物 道路 溝 井戸 [中世]土坑 地下式横穴,土師器 須恵器 土師質土器 陶磁器(緑釉・灰釉・青磁・白磁・三彩・天目) カワラケ 支脚 砥石 石臼 鍬鋤先 鎌 ヤリガンナ 刀子 鉄鏃 紡錘車 土錘 鞴羽口 鈴 陶硯 銙帯 鬼瓦 軒丸瓦 丸瓦 平瓦 熨斗瓦 面戸瓦 塼 文様入銅製蓋 観音菩薩立像 銭貨 板碑
1321401100,13214,11,たきくぼいせき,多喜窪遺跡,国分寺市 西元町二丁目 西元町四丁目,[旧石器時代][縄文時代（中期）],集落,[縄文時代]住居 土壙,縄文土器 打斧 磨斧 石鏃 掻器 石皿 磨石 スタンプ形石器
