JASID,自治体コード,遺跡番号,ふりがな,遺跡名,住所,時代,種別,主な遺構/概要,主な出土品
13106000100,13106,1,りょうげんじかいづか,領玄寺貝塚,台東区 谷中四丁目,[縄文時代（中期～後期）][近世],包蔵地・貝塚,,縄文土器　石斧　石鏃　石錐　砥石　陶磁器
13106000200,13106,2,てんのうじかいづか,天王寺貝塚,台東区 谷中七丁目,[縄文時代（後期）][古墳時代],包蔵地・貝塚,,縄文土器　土師器
13106000300,13106,3,すりばちやまこふん,摺鉢山古墳,台東区 上野公園,[古墳時代],古墳,前方後円墳　近世瓦溜　土杭,古代土器・近世瓦・陶磁器
13106000401,13106,4-1,うえのしのぶがおかいせきぐん,上野忍岡遺跡群,台東区 上野公園　上野二丁目　池之端三丁目,[旧石器時代][縄文時代（早期～晩期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世][近代],包蔵地・集落・社寺・屋敷・その他の墓・その他（花卉園）,,ナイフ形石器　細石刃　剥片　縄文土器　石器　弥生土器　土師器　須恵器　埴輪　陶器（灰釉）　紡錘車　帯金具　陶磁器　焼塩壺　硯　煙管　木製品　和釘　ガラス製品　瓦塔　瓦　墨書付絹布　簪　笄　数珠玉　小形巻物　甕棺　木棺　墓石　石造物　板碑　人骨
13106000402,13106,4-2,うえのしのぶがおかいせきぐん,上野忍岡遺跡群,台東区 上野桜木一丁目,[奈良時代][平安時代][近世],包蔵地・集落・社寺,[近世]土坑　地下式土坑　溝　瓦　廃棄杭,古代土師器　近世陶磁器・瓦・蔵骨器・人骨
13106000403,13106,4-3,うえのしのぶがおかいせきぐん,上野忍岡遺跡群,台東区 谷中七丁目,[奈良時代][平安時代][近世],包蔵地・社寺,[近世]土坑,古代土師器　近世陶磁器・瓦
13106000404,13106,4-4,うえのしのぶがおかいせきぐん,上野忍岡遺跡群,台東区 谷中七丁目,[縄文時代][近世],包蔵地・社寺,,縄文土器・貝　近世陶磁器
13106000405,13106,4-5,うえのしのぶがおかいせきぐん,上野忍岡遺跡群,台東区 上野桜木一丁目,[旧石器時代][縄文時代][古墳時代][奈良時代][平安時代][中世][近世],包蔵地・集落・貝塚・社寺,[旧石器時代]～[中世]礫群　陥穴　ピット群　土杭　貝塚　[近世]地下式土杭　井戸　溝　瓦留　墓杭,縄文～古代土器　近世陶磁器瓦・石造物　旧石器～中世礫・縄文土器・土師器・須恵器・陶器・土器　近世陶磁器・土器類・人骨
13106000406,13106,4-6,うえのしのぶがおかいせきぐん,上野忍岡遺跡群,台東区 上野桜木二丁目,[古墳時代][奈良時代][平安時代][中世][近世],包蔵地・集落・社寺,[古墳時代]住居跡　[近世]土杭,古代土師器　中世陶器　近世陶磁器・瓦
13106000407,13106,4-7,うえのしのぶがおかいせきぐん,上野忍岡遺跡群,台東区 谷中七丁目　上野桜木二丁目,[縄文時代][弥生時代][古墳時代][奈良時代][平安時代][近世],包蔵地・集落・社寺,[奈良・平安]住居跡　[近世]溝状・道路状遺構　瓦溜　土坑,[縄文・弥生～古墳]土器　[奈良・平安]土師器、須恵器　[近世]陶磁器、土器、金属製品
13106000408,13106,4-8,うえのしのぶがおかいせきぐん,上野忍岡遺跡群,台東区 上野桜木一丁目,[旧石器時代][縄文時代][弥生時代][古墳時代][奈良時代][平安時代][中世][近世],包蔵地・集落・社寺,,旧石器時代石器　古墳時代　土師器・石製品（玉類他）　奈良・平安時代　土師器・須恵器　中世陶磁器　近世陶磁器・瓦
