JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品
1330300100,13303,1,まつばらいせき,松原遺跡,瑞穂町 箱根ヶ崎,[旧石器時代][縄文時代（前期）],包蔵地,[旧石器時代]礫群 [縄文時代]土坑,縄文土器 石鏃 石器 打製石斧
1330300200,13303,2,さやまいせき,狭山遺跡,瑞穂町 箱根ヶ崎,[旧石器時代][縄文時代（前期～中期）][弥生時代][古墳時代][平安時代],集落,［時代不明］住居跡 炉 土坑 溝状遺構 溝,ナイフ形石器 尖頭器 細石刃 細石刃核 掻器 削器 石錐 旧石器 縄文土器 打斧 磨斧 有茎尖頭器 石鏃 石皿 磨石 凹石 敲石 土製円板 石器 弥生土器 土師器 須恵器 陶磁器 ガラス製品 金属製品 銭貨
1330300300,13303,3,せんげんやついせき,浅間谷遺跡,瑞穂町 箱根ヶ崎,[旧石器時代][縄文時代（早期・中期～後期）]［弥生時代］,包蔵地,[縄文時代]炉,尖頭器 細石刃核 掻器 縄文
1330300400,13303,4,,瑞穂町№4遺跡,瑞穂町 石畑,[縄文時代],包蔵地,,縄文土器
1330300500,13303,5,,瑞穂町№5遺跡,瑞穂町 石畑,[縄文時代（早期～前期）],包蔵地,,縄文土器 打製石器
1330300600,13303,6,,瑞穂町№6遺跡,瑞穂町 石畑,[縄文時代（中期）],包蔵地,,縄文土器
1330300700,13303,7,,瑞穂町№7遺跡,瑞穂町 石畑,[縄文時代（早期～前期）],包蔵地,,縄文土器
1330300800,13303,8,,瑞穂町№8遺跡,瑞穂町 石畑,[縄文時代（早期～前期）],包蔵地,,縄文土器
1330300900,13303,9,ろくどうやまいせき,六道山遺跡,瑞穂町 石畑,[旧石器時代][縄文時代（早期～中期）],集落,[縄文時代]炉穴群 土坑,尖頭器 縄文土器 打斧 磨斧 礫器 掻器 削器 石錐 石皿 磨石 有孔石器 有孔土製円板
1330301000,13303,10,ろくどうやませいほくいせき,六道山西北遺跡,瑞穂町 石畑,[縄文時代（前期）],包蔵地,,縄文土器
1330301100,13303,11,,瑞穂町№11遺跡,瑞穂町 石畑,[中世][近世],,,陶器
1330301200,13303,12,みねたいせき,峰田遺跡,瑞穂町 殿ヶ谷,[縄文時代（中期）],包蔵地,,縄文土器 石器
1330301300,13303,13,たきたいせき,滝田遺跡,瑞穂町 殿ヶ谷,[中世][近世],,,土師質土器
1330301400,13303,14,,瑞穂町№14遺跡,瑞穂町 石畑,[縄文時代（中期）],包蔵地,,縄文土器
1330301500,13303,15,,瑞穂町№15遺跡,瑞穂町 殿ヶ谷,[縄文時代（中期）][古墳時代][奈良時代],包蔵地,土坑,縄文土器 土師器 陶器 石皿
1330301600,13303,16,,瑞穂町№16遺跡,瑞穂町 殿ヶ谷,[中世][近世],,,
1330301700,13303,17,,瑞穂町№17遺跡,瑞穂町 殿ヶ谷,[旧石器時代],包蔵地,,尖頭器
1330301800,13303,18,,瑞穂町№18遺跡,瑞穂町 駒形富士山,[中世][近世],地下式横穴,,
1330301900,13303,19,,瑞穂町№19遺跡,瑞穂町 石畑,[縄文時代（中期）],包蔵地,,縄文土器 打斧 石鏃 石皿 磨石
1330302000,13303,20,むらやまやかたあと,村山館跡,瑞穂町 殿ヶ谷,[中世],城館,[中世]空堀 土塁,
1330302100,13303,21,いしはたさやまみねいせき,石畑狭山嶺遺跡,瑞穂町 石畑,[縄文時代（前期～中期）][奈良時代][平安時代][近世],包蔵地,[縄文時代]集石 土坑,縄文土器 打斧 礫器 石槍 石鏃 掻器 ピエス・エスキーユ トランシェ様石器 石皿 磨石 凹石 敲石 須恵器 陶磁器 素焼土器 擂鉢 砥石
1330302200,13303,22,たきたひがしいせき,滝田東遺跡,瑞穂町 殿ヶ谷,[縄文時代（中期）][奈良時代],集落,[縄文時代]住居 配石炉 [奈]住居,縄文土器 石斧 土師器 須恵器
